"id";"recite_collegate";"fullpath";"published"
"53735";"/Recite/15-02-1991 Don Pasquale (57281),/Recite/17-02-1991 Don Pasquale (57282),/Recite/19-02-1991 Don Pasquale (57283),/Recite/21-02-1991 Don Pasquale (57284)";"/Produzioni/1991 Don Pasquale (53735)";"1"
"53736";"/Recite/15-11-1998 Caterina di Heilbronn o La prova del fuoco (57201),/Recite/14-11-1998 Caterina di Heilbronn o La prova del fuoco (57200),/Recite/13-11-1998 Caterina di Heilbronn o La prova del fuoco (57199),/Recite/12-11-1998 Caterina di Heilbronn o La prova del fuoco (57198)";"/Produzioni/1997 Caterina di Heilbronn o La prova del fuoco (53736)";"1"
"53737";"/Recite/01-11-1998 La gatta Cenerentola (57186),/Recite/31-10-1998 La gatta Cenerentola (57185),/Recite/30-10-1998 La gatta Cenerentola (57184),/Recite/29-10-1998 La gatta Cenerentola (57183)";"/Produzioni/1998 La Gatta Cenerentola (53737)";"1"
"53738";"/Recite/22-11-1998 La guerra (57210),/Recite/21-11-1998 La guerra (57209),/Recite/20-11-1998 La guerra (57208),/Recite/19-11-1998 La guerra (57207)";"/Produzioni/1998 La guerra (53738)";"1"
"53739";"/Recite/17-12-1998 Plaza Suite (57202),/Recite/18-12-1998 Plaza Suite (57203),/Recite/19-12-1998 Plaza Suite (57204),/Recite/20-12-1998 Plaza Suite (57205),/Recite/20-12-1998 Plaza Suite (57206)";"/Produzioni/1992 Plaza Suite (53739)";"1"
"53740";"/Recite/09-01-1999 La donna del mare (57362),/Recite/10-01-1999 La donna del mare (57363),/Recite/08-01-1999 La donna del mare (57211)";"/Produzioni/1998 Donna del mare (53740)";"1"
"53741";"/Recite/20-01-1999 La grande magia (57364),/Recite/21-01-1999 La grande magia (57365),/Recite/22-01-1999 La grande magia (57366),/Recite/23-01-1999 La grande magia (57367),/Recite/24-01-1999 La grande magia (57368)";"/Produzioni/1985 La grande magia (53741)";"1"
"53742";"/Recite/07-01-1999 The Rake's Progress (57176),/Recite/10-01-1999 The Rake's Progress (57177)";"/Produzioni/1998 The Rake's Progress (53742)";"1"
"53743";"/Recite/28-03-1999 Werther (57182),/Recite/26-03-1999 Werther (57181),/Recite/24-03-1999 Werther (57180)";"/Produzioni/1999 Werther (53743)";"1"
"53744";"/Recite/16-04-1999 Andrea Chénier (57961),/Recite/18-04-1999 Andrea Chénier (57962)";"/Produzioni/1999 Andrea Chénier (53744)";"1"
"53745";"/Recite/06-12-1998 In treno all'opera: Don Giovanni (57963)";"/Produzioni/1998 Don Giovanni (53745)";"1"
"53746";"/Recite/24-04-1999 In treno all'opera: Attila (58633)";"/Produzioni/1999 Attila (53746)";"1"
"53747";"/Recite/20-02-1999 Ubu incatenato e re (57370),/Recite/21-02-1999 Ubu incatenato e re (57371),/Recite/19-02-1999 Ubu incatenato e re (57369)";"/Produzioni/1995 Ubu incatenato e re (53747)";"1"
"53748";"/Recite/26-02-1999 Amleto (57372),/Recite/27-02-1999 Amleto (57373),/Recite/28-02-1999 Amleto (57374)";"/Produzioni/1998 Amleto (53748)";"1"
"53749";"/Recite/04-03-1999 Le sedie (57375),/Recite/05-03-1999 Le sedie (57376),/Recite/06-03-1999 Le sedie (57377)";"/Produzioni/1996 Le sedie (53749)";"1"
"53750";"/Recite/16-03-1999 Il campiello (57378),/Recite/17-03-1999 Il campiello (57379),/Recite/18-03-1999 Il campiello (57380)";"/Produzioni/1999 Il campiello (53750)";"1"
"53751";"/Recite/09-04-1999 Max Gericke (57381),/Recite/09-04-1999 Max Gericke (57382),/Recite/10-04-1999 Max Gericke (57383),/Recite/11-04-1999 Max Gericke (57384)";"/Produzioni/1998 Max Gericke (53751)";"1"
"53752";"/Recite/08-11-1998 Ballett Frankfurt (58105),/Recite/09-11-1998 Ballett Frankfurt (58106)";"/Produzioni/1998 Workwithinwork (53752)";"1"
"53753";"/Recite/24-11-1998 Aterballetto.
Trittico per Leopardi (57187)";"/Produzioni/1998 Fuga naturale (53753)";"1"
"53754";"/Recite/02-06-1999 Sylvie Guillem e Jonathan Cope con Aterballetto (57188),/Recite/03-06-1999 Sylvie Guillem e Jonathan Cope con Aterballetto (58109)";"/Produzioni/1928 Apollon musagète (53754)";"1"
"53755";"/Recite/23-02-1999 Così fan tutte (57179),/Recite/22-02-1999 Così fan tutte (57178)";"/Produzioni/1998 Così fan tutte (53755)";"1"
"53756";"/Recite/18-11-1999 Hollywood. Ritratto di un divo (57189),/Recite/19-11-1999 Hollywood. Ritratto di un divo (57190),/Recite/20-11-1999 Hollywood. Ritratto di un divo (57191),/Recite/21-11-1999 Hollywood. Ritratto di un divo (57192)";"/Produzioni/1999 Hollywood (53756)";"1"
"53757";"/Recite/03-12-1999 Il gabbiano (57193),/Recite/04-12-1999 Il gabbiano (57194),/Recite/05-12-1999 Il gabbiano (57195)";"/Produzioni/1998 Il gabbiano (53757)";"1"
"53758";"/Recite/15-12-1999 Il ritorno a casa (57196),/Recite/16-12-1999 Il ritorno a casa (57197)";"/Produzioni/1999 Il ritorno a casa (53758)";"1"
"53759";"/Recite/14-01-2000 Un'altra storia (57215),/Recite/15-01-2000 Un'altra storia (57216),/Recite/16-01-2000 Un'altra storia (57217)";"/Produzioni/Un'altra storia (53759)";"1"
