"id";"dcTitle";"persone_collegate";"fullpath";"published";"creationDate";"modificationDate"
"69311";"Fidelio, op. 72b";"/Persone/Beethoven, Ludwig van (9581),/Persone/Sonnleithner, Joseph Ferdinand von (9646),/Persone/Treitschke, Georg Friedrich (9647),/Persone/Bouilly, Jean-Nicolas (11264)";"/Opere Musicali/febbraio-15-04-1814 Fidelio, op. 72b (69311)";"1";"1745330818";"1756888006"
"69313";"I Capuleti e i Montecchi";"/Persone/Bellini, Vincenzo (9582),/Persone/Romani, Felice (9648)";"/Opere Musicali/gennaio-marzo 1830 I Capuleti e i Montecchi (69313)";"1";"1745330871";"1750866137"
"69314";"Norma";"/Persone/Bellini, Vincenzo (9582),/Persone/Romani, Felice (9648)";"/Opere Musicali/settembre-novembre 1831 Norma (69314)";"1";"1745330871";"1750866137"
"69315";"I Puritani";"/Persone/Bellini, Vincenzo (9582),/Persone/Pepoli, Carlo (9649)";"/Opere Musicali/aprile 1834-gennaio 1835 I Puritani (69315)";"1";"1745330871";"1753251882"
"69316";"La sonnambula";"/Persone/Bellini, Vincenzo (9582),/Persone/Romani, Felice (9648)";"/Opere Musicali/gennaio-marzo 1831 La sonnambula (69316)";"1";"1745330871";"1750866137"
"69317";"Wozzeck, op. 7";"/Persone/Berg, Alban (34031),/Persone/Büchner, Georg (11266)";"/Opere Musicali/01-01-1914 - 31-12-1922 Wozzeck, op. 7 (69317)";"1";"1745330871";"1750866137"
"69318";"Carmen";"/Persone/Bizet, Georges (9584),/Persone/Meilhac, Henri (9696),/Persone/Halévy, Ludovic (9865),/Persone/Mérimée, Prosper (13350)";"/Opere Musicali/03-03-1875 Carmen (69318)";"1";"1745330871";"1750866137"
"69319";"Les Pêcheurs de perles";"/Persone/Bizet, Georges (9584),/Persone/Cormon, Eugène (9700),/Persone/Carré, Michel (9701)";"/Opere Musicali/01-01-1863 - 31-12-1863 Les Pêcheurs de perles (69319)";"1";"1745330871";"1750866137"
"69320";"Albert Herring";"/Persone/Britten, Benjamin (31624),/Persone/Crozier, Eric (9704)";"/Opere Musicali/20-06-1947 - 20-06-1947 Albert Herring (69320)";"1";"1745330871";"1750866137"
"69321";"Evgenij Onegin'";"/Persone/Čajkovskij, Pëtr Il'ič (9588),/Persone/Puškin, Aleksandr Sergeevic (10602)";"/Opere Musicali/1879 Evgenij Onegin' (69321)";"1";"1745330872";"1753165593"
"69322";"Pikovaja dama / La dama di picche, op. 68";"/Persone/Čajkovskij, Pëtr Il'ič (9588),/Persone/Čajkovskij, Modest Ilʹič (34024),/Persone/Puškin, Aleksandr Sergeevic (10602)";"/Opere Musicali/30-1-1890 - 14-03-1890 Pikovaja dama - La dama di picche, op. 68 (69322)";"1";"1745330872";"1756885692"
"69323";"La Wally";"/Persone/Catalani, Alfredo (9589),/Persone/Illica, Luigi (9710)";"/Opere Musicali/01-01-1889 - 31-12-1891 La Wally (69323)";"1";"1745330872";"1750866138"
"69324";"Adriana Lecouvreur";"/Persone/Cilea, Francesco (9592),/Persone/Colautti, Arturo (9725),/Persone/Scribe, Eugène (9644)";"/Opere Musicali/01-01-1900 - 31-12-1902 Adriana Lecouvreur (69324)";"1";"1745330872";"1750866138"
"69325";"L'Arlesiana";"/Persone/Cilea, Francesco (9592),/Persone/Marenco, Leopoldo (9727),/Persone/Daudet, Alphonse (9695)";"/Opere Musicali/1892 - 1897 L'Arlesiana (69325)";"1";"1745330872";"1756732643"
"69326";"Il maestro di cappella";"/Persone/Cimarosa, Domenico (9593)";"/Opere Musicali/Il maestro di cappella (69326)";"1";"1745330872";"1750866138"
"69327";"Don Pasquale";"/Persone/Donizetti, Gaetano (9596),/Persone/Ruffini, Giovanni (9748),/Persone/Anelli, Angelo (9942)";"/Opere Musicali/1843 Don Pasquale (69327)";"1";"1745330872";"1753109968"
