,opera_id,dcTitle_opera,autori
0,69311,"Fidelio, op. 72b","Beethoven, Ludwig van: compositore, Sonnleithner, Joseph Ferdinand von: librettista, Treitschke, Georg Friedrich: librettista, Bouilly, Jean-Nicolas: testo di"
1,69313,I Capuleti e i Montecchi,"Bellini, Vincenzo: compositore, Romani, Felice: librettista"
2,69314,Norma,"Bellini, Vincenzo: compositore, Romani, Felice: librettista"
3,69315,I Puritani,"Bellini, Vincenzo: compositore, Pepoli, Carlo: librettista"
4,69316,La sonnambula,"Bellini, Vincenzo: compositore, Romani, Felice: librettista"
5,69317,"Wozzeck, op. 7","Büchner, Georg: testo di, Berg, Alban: compositore, Berg, Alban: librettista"
6,69318,Carmen,"Bizet, Georges: compositore, Meilhac, Henri: librettista, Halévy, Ludovic: librettista, Mérimée, Prosper: testo di"
7,69319,Les Pêcheurs de perles,"Bizet, Georges: compositore, Cormon, Eugène: librettista, Carré, Michel: librettista"
8,69320,Albert Herring,"Crozier, Eric: librettista, Britten, Benjamin: compositore"
9,69321,Evgenij Onegin',"Čajkovskij, Pëtr Il'ič: compositore, Puškin, Aleksandr Sergeevic: testo di"
10,69322,"Pikovaja dama / La dama di picche, op. 68","Čajkovskij, Pëtr Il'ič: compositore, Puškin, Aleksandr Sergeevic: autore dell'opera letteraria del libretto, Čajkovskij, Modest Ilʹič: libretto di"
11,69323,La Wally,"Catalani, Alfredo: compositore, Illica, Luigi: librettista"
12,69324,Adriana Lecouvreur,"Cilea, Francesco: compositore, Scribe, Eugène: testo di, Colautti, Arturo: librettista"
13,69325,L'Arlesiana,"Cilea, Francesco: compositore, Daudet, Alphonse: testo di, Marenco, Leopoldo: librettista"
14,69326,Il maestro di cappella,"Cimarosa, Domenico: compositore"
15,69327,Don Pasquale,"Donizetti, Gaetano: compositore, Ruffini, Giovanni: librettista, Anelli, Angelo: testo di"
16,69328,L'elisir d'amore,"Donizetti, Gaetano: compositore"
17,69329,La Favorite / La favorita,"Donizetti, Gaetano: compositore"
18,69330,La Fille du régiment / La figlia del reggimento,"Donizetti, Gaetano: compositore, Vernoy de Saint-Georges, Jules-Henry: librettista, Bayard, Jean-François-Alfred: librettista"
19,69331,Lucia di Lammermoor,"Donizetti, Gaetano: compositore, Cammarano, Salvatore: librettista, Scott, Walter: testo di"
20,69332,Maria Stuarda,"Donizetti, Gaetano: compositore, Schiller, Friedrich: testo di, Bardari, Giuseppe: librettista"
21,69333,Roberto Devereux o Il conte d'Essex,"Donizetti, Gaetano: compositore"
22,69334,Martha,"Flotow, Friedrich von: compositore, Friedrich, Wilhelm: librettista"
23,69335,Porgy and Bess,"Gershwin, George: compositore, Heyward, Du Bose: librettista, Gershwin, Ira: librettista"
24,69336,Andrea Chénier,"Giordano, Umberto: compositore, Illica, Luigi: librettista"
25,69337,Ruslan i Ljudmila,"Glinka, Mikhail: compositore, Puškin, Aleksandr Sergeevic: testo di, Sirkov, Valerian Fëdorovic: librettista"
26,69338,Orfeo ed Euridice,"Gluck, Christoph Willibald: compositore, Calzabigi, Ranieri de': librettista"
27,69339,Roméo et Juliette,"Gounod, Charles: compositore, Carré, Michel: librettista, Barbier, Jules: librettista, Shakespeare, William: testo di"
28,69340,Acis and Galatea,"Händel, Georg Friedrich: compositore, Gay, John: librettista"
29,69341,Alcina,"Händel, Georg Friedrich: compositore, Fanzaglia, Antonio: librettista, Ariosto, Ludovico: testo di"
30,69342,"Giulio Cesare, HWV 17","Händel, Georg Friedrich: compositore, Bussani, Giacomo Francesco: autore dell'opera letteraria del libretto, Haym, Nicola Francesco: librettista"
31,69343,"The Messiah, sp,ct,tn,bs,coro,orch, HWV 56","Händel, Georg Friedrich: compositore, Jennens, Charles: librettista"
32,69344,"Semele, 2sp,3ct,2tn,3bs,coro,orch, HWV 58","Händel, Georg Friedrich: compositore, Congreve, William: librettista"
33,69345,L'amico Fritz,"Mascagni, Pietro: compositore, Daspuro, Nicola: librettista"
34,69346,Le maschere,"Mascagni, Pietro: compositore, Illica, Luigi: librettista"
35,69347,Manon,"Massenet, Jules: compositore, Meilhac, Henri: librettista, Gille, Philippe: librettista, Prévost, Antoine-François: testo di"
36,69348,Werther,"Massenet, Jules: compositore, Milliet, Paul: librettista, Blau, Édouard: librettista, Hartmann, Georges: librettista"
37,69349,L'incoronazione di Poppea,"Monteverdi, Claudio: compositore, Busenello, Giovanni Francesco: librettista"
38,69350,"La clemenza di Tito, K 621","Mozart, Wolfgang Amadeus: compositore, Metastasio, Pietro: testo di, Mazzolà, Caterino: librettista"
39,69351,"Così fan tutte ossia La scuola degli amanti, K 588","Mozart, Wolfgang Amadeus: compositore, Da Ponte, Lorenzo: librettista"
40,69352,"Don Giovanni, K 527","Mozart, Wolfgang Amadeus: compositore, Da Ponte, Lorenzo: librettista"
41,69353,"Die Entführung aus dem Serail / Il ratto dal serraglio, K 384","Mozart, Wolfgang Amadeus: compositore, Stephanie, Johann Gottlob: librettista"
42,69354,"Idomeneo, re di Creta, K 366","Mozart, Wolfgang Amadeus: compositore, Varesco, Giambattista: librettista"
43,69355,"Le nozze di Figaro, K 492","Mozart, Wolfgang Amadeus: compositore, Da Ponte, Lorenzo: librettista"
44,69356,"Requiem, soli,coro,orch, Re min., K 626","Mozart, Wolfgang Amadeus: compositore"
45,69357,"Die Zauberflöte, K 620","Mozart, Wolfgang Amadeus: compositore, Schikaneder, Emanuel Johann Joseph: librettista"
46,69358,Boris Godunov,"Musorgskij, Modest: compositore, Musorgskij, Modest: librettista, Puškin, Aleksandr Sergeevic: testo di"
47,69359,Soro|cinskaja jarmarka / La fiera di Sorocinskij,"Musorgskij, Modest: compositore, Gogol', Nicolaj Vasil'evi|c: librettista"
48,69360,Die lustigen Weiber von Windsor / Le allegre comari di Windsor,"Nicolai, Otto: compositore, Mosenthal, Salomon Hermann von: librettista"
49,69361,"In questa tomba oscura, voce,pf, op. (133)","Beethoven, Ludwig van: compositore, Carpani, Giuseppe: librettista"
50,69362,"Sonata, vl, Sol min., B g5, Trillo del Diavolo","Tartini, Giuseppe: compositore"
51,69363,Saffo,"Pacini, Giovanni: compositore, Cammarano, Salvatore: librettista"
52,69364,La serva padrona,"Pergolesi, Giovanni Battista: compositore, Federico, Gennaro Antonio: librettista"
53,69365,"Ljubov'k trëm apel'sinam / L'amore delle tre melarance, op. 33","Prokof'ev, Sergej: compositore, Prokof'ev, Sergej: librettista, Gozzi, Carlo: testo di"
54,69366,La bohème,"Puccini, Giacomo: compositore, Illica, Luigi: librettista, Giacosa, Giuseppe: librettista, Murger, Henry: autore dell'opera letteraria del libretto"
55,69367,Boléro,"Ravel, Maurice: compositore"
56,69368,"Sinfonia n. 8, Si min., D 759, Die Unvollendete / Incompiuta","Schubert, Franz: compositore"
57,69369,"Talea, fl,cl,vl,vlc,pf","Grisey, Gérard: compositore"
58,69370,La fanciulla del West,"Puccini, Giacomo: compositore, Civinini, Guelfo: librettista, Zangarini, Carlo: librettista, Belasco, David: testo di"
59,69371,Madama Butterfly,"Puccini, Giacomo: compositore, Illica, Luigi: librettista, Giacosa, Giuseppe: librettista, Belasco, David: testo di"
60,69372,"Egmont, sp,orch, op. 84","Beethoven, Ludwig van: compositore"
61,69373,Manon Lescaut,"Leoncavallo, Ruggero: librettista, Puccini, Giacomo: compositore, Illica, Luigi: librettista, Giacosa, Giuseppe: librettista, Prévost, Antoine-François: testo di, Oliva, Domenico: librettista, Ricordi, Giulio: librettista"
62,69374,Tosca,"Puccini, Giacomo: compositore, Illica, Luigi: librettista, Giacosa, Giuseppe: librettista, Sardou, Victorien: testo di"
63,69375,Turandot,"Puccini, Giacomo: compositore, Simoni, Renato: librettista, Adami, Giuseppe: librettista, Gozzi, Carlo: testo di"
64,69376,Le Villi,"Puccini, Giacomo: compositore, Fontana, Ferdinando: librettista"
65,69377,Dido and Aeneas,"Purcell, Henry: compositore, Tate, Nahum: librettista"
66,69378,Hippolyte et Aricie,"Rameau, Jean-Philippe: compositore, Pellegrin, Simon-Joseph: librettista"
67,69379,"An der schönen, blauen Donau","Strauss, Johann: compositore"
68,69380,"Die Ebriden, orch, op. 26, Fingalshöhle","Mendelssohn-Bartholdy, Felix: compositore"
69,69381,L'Oiseau de feu,"Stravinskij, Igor': compositore"
70,69382,"Kaiser-Walzer, orch n. 244, op. 437, trascrizione per pf,cl,2vl,vla,vlc","Strauss, Johann: compositore"
71,69383,"Sinfonia, Re, Hob.I 101, Die Uhr/The Clock","Haydn, Franz Joseph: compositore"
72,69384,"Rondò capriccioso, pf, op. 14, Mi","Mendelssohn-Bartholdy, Felix: compositore"
73,69385,"Prélude à l'aprés-midi d'un faune, orch","Debussy, Claude: compositore"
74,69386,"Peer Gynt. Prima Suite, orch, op. 46","Grieg, Edvard: compositore"
75,69387,"Peer Gynt. Seconda Suite , orch, op. 55","Grieg, Edvard: compositore"
76,69388,Armida,"Rossini, Gioachino: compositore, Schmidt, Giovanni: librettista"
77,69389,Il barbiere di Siviglia,"Rossini, Gioachino: compositore, Sterbini, Cesare: librettista"
78,69390,La cambiale di matrimonio,"Rossini, Gioachino: compositore, Rossi, Gaetano: librettista"
79,69391,"Toccata e fuga, org, Re min., BWV 538, {Dorica","Bach, Johann Sebastian: compositore"
80,69392,Ave Maria,"Schubert, Franz: compositore"
81,69393,"Quando Diodoro declinò lo sguardo rivelando l'eccentrico oblìo, fl,cl,pf","Garuti, Mario: compositore"
82,69394,Aida,"Verdi, Giuseppe: compositore, Ghislanzoni, Antonio: librettista, Mariette, Auguste-Ferdinand-François: testo di"
83,69395,"Non t'amo più!, voce,pf","Tosti, Francesco Paolo: compositore, Errico, Carmelo: librettista"
84,69396,Romance op. 26,"Svendsen, Johann Severin: compositore"
85,69397,"Il poveretto, voce,pf","Verdi, Giuseppe: compositore, Maggioni, Manfredo: librettista"
86,69398,"Sinfonia n. 1, op. 21, Do","Beethoven, Ludwig van: compositore"
