opera_id,dcTitle_opera,dcTitle_persona,column,data
69311,"Fidelio, op. 72b","Beethoven, Ludwig van",relazione,compositore
69311,"Fidelio, op. 72b","Sonnleithner, Joseph Ferdinand von",relazione,librettista
69311,"Fidelio, op. 72b","Treitschke, Georg Friedrich",relazione,librettista
69311,"Fidelio, op. 72b","Bouilly, Jean-Nicolas",relazione,testo di
69313,I Capuleti e i Montecchi,"Bellini, Vincenzo",relazione,compositore
69313,I Capuleti e i Montecchi,"Romani, Felice",relazione,librettista
69314,Norma,"Bellini, Vincenzo",relazione,compositore
69314,Norma,"Romani, Felice",relazione,librettista
69315,I Puritani,"Bellini, Vincenzo",relazione,compositore
69315,I Puritani,"Pepoli, Carlo",relazione,librettista
69316,La sonnambula,"Bellini, Vincenzo",relazione,compositore
69316,La sonnambula,"Romani, Felice",relazione,librettista
69317,"Wozzeck, op. 7","Büchner, Georg",relazione,testo di
69317,"Wozzeck, op. 7","Berg, Alban",relazione,"compositore,librettista"
69318,Carmen,"Bizet, Georges",relazione,compositore
69318,Carmen,"Meilhac, Henri",relazione,librettista
69318,Carmen,"Halévy, Ludovic",relazione,librettista
69318,Carmen,"Mérimée, Prosper",relazione,testo di
69319,Les Pêcheurs de perles,"Bizet, Georges",relazione,compositore
69319,Les Pêcheurs de perles,"Cormon, Eugène",relazione,librettista
69319,Les Pêcheurs de perles,"Carré, Michel",relazione,librettista
69320,Albert Herring,"Crozier, Eric",relazione,librettista
69320,Albert Herring,"Britten, Benjamin",relazione,compositore
69321,Evgenij Onegin',"Čajkovskij, Pëtr Il'ič",relazione,compositore
69321,Evgenij Onegin',"Puškin, Aleksandr Sergeevic",relazione,testo di
69322,"Pikovaja dama / La dama di picche, op. 68","Čajkovskij, Pëtr Il'ič",relazione,compositore
69322,"Pikovaja dama / La dama di picche, op. 68","Puškin, Aleksandr Sergeevic",relazione,autore dell'opera letteraria del libretto
69322,"Pikovaja dama / La dama di picche, op. 68","Čajkovskij, Modest Ilʹič",relazione,libretto di
69323,La Wally,"Catalani, Alfredo",relazione,compositore
69323,La Wally,"Illica, Luigi",relazione,librettista
69324,Adriana Lecouvreur,"Cilea, Francesco",relazione,compositore
69324,Adriana Lecouvreur,"Scribe, Eugène",relazione,testo di
69324,Adriana Lecouvreur,"Colautti, Arturo",relazione,librettista
69325,L'Arlesiana,"Cilea, Francesco",relazione,compositore
69325,L'Arlesiana,"Daudet, Alphonse",relazione,testo di
69325,L'Arlesiana,"Marenco, Leopoldo",relazione,librettista
69326,Il maestro di cappella,"Cimarosa, Domenico",relazione,compositore
69327,Don Pasquale,"Donizetti, Gaetano",relazione,compositore
69327,Don Pasquale,"Ruffini, Giovanni",relazione,librettista
69327,Don Pasquale,"Anelli, Angelo",relazione,testo di
69328,L'elisir d'amore,"Donizetti, Gaetano",relazione,compositore
69329,La Favorite / La favorita,"Donizetti, Gaetano",relazione,compositore
69330,La Fille du régiment / La figlia del reggimento,"Donizetti, Gaetano",relazione,compositore
69330,La Fille du régiment / La figlia del reggimento,"Vernoy de Saint-Georges, Jules-Henry",relazione,librettista
69330,La Fille du régiment / La figlia del reggimento,"Bayard, Jean-François-Alfred",relazione,librettista
69331,Lucia di Lammermoor,"Donizetti, Gaetano",relazione,compositore
69331,Lucia di Lammermoor,"Cammarano, Salvatore",relazione,librettista
69331,Lucia di Lammermoor,"Scott, Walter",relazione,testo di
69332,Maria Stuarda,"Donizetti, Gaetano",relazione,compositore
69332,Maria Stuarda,"Schiller, Friedrich",relazione,testo di
69332,Maria Stuarda,"Bardari, Giuseppe",relazione,librettista
69333,Roberto Devereux o Il conte d'Essex,"Donizetti, Gaetano",relazione,compositore
69334,Martha,"Flotow, Friedrich von",relazione,compositore
69334,Martha,"Friedrich, Wilhelm",relazione,librettista
69335,Porgy and Bess,"Gershwin, George",relazione,compositore
69335,Porgy and Bess,"Heyward, Du Bose",relazione,librettista
69335,Porgy and Bess,"Gershwin, Ira",relazione,librettista
69336,Andrea Chénier,"Giordano, Umberto",relazione,compositore
69336,Andrea Chénier,"Illica, Luigi",relazione,librettista
69337,Ruslan i Ljudmila,"Glinka, Mikhail",relazione,compositore
69337,Ruslan i Ljudmila,"Puškin, Aleksandr Sergeevic",relazione,testo di
69337,Ruslan i Ljudmila,"Sirkov, Valerian Fëdorovic",relazione,librettista
69338,Orfeo ed Euridice,"Gluck, Christoph Willibald",relazione,compositore
69338,Orfeo ed Euridice,"Calzabigi, Ranieri de'",relazione,librettista
69339,Roméo et Juliette,"Gounod, Charles",relazione,compositore
69339,Roméo et Juliette,"Carré, Michel",relazione,librettista
69339,Roméo et Juliette,"Barbier, Jules",relazione,librettista
69339,Roméo et Juliette,"Shakespeare, William",relazione,testo di
69340,Acis and Galatea,"Händel, Georg Friedrich",relazione,compositore
69340,Acis and Galatea,"Gay, John",relazione,librettista
69341,Alcina,"Händel, Georg Friedrich",relazione,compositore
69341,Alcina,"Fanzaglia, Antonio",relazione,librettista
69341,Alcina,"Ariosto, Ludovico",relazione,testo di
69342,"Giulio Cesare, HWV 17","Händel, Georg Friedrich",relazione,compositore
69342,"Giulio Cesare, HWV 17","Bussani, Giacomo Francesco",relazione,autore dell'opera letteraria del libretto
69342,"Giulio Cesare, HWV 17","Haym, Nicola Francesco",relazione,librettista
69343,"The Messiah, sp,ct,tn,bs,coro,orch, HWV 56","Händel, Georg Friedrich",relazione,compositore
69343,"The Messiah, sp,ct,tn,bs,coro,orch, HWV 56","Jennens, Charles",relazione,librettista
69344,"Semele, 2sp,3ct,2tn,3bs,coro,orch, HWV 58","Händel, Georg Friedrich",relazione,compositore
69344,"Semele, 2sp,3ct,2tn,3bs,coro,orch, HWV 58","Congreve, William",relazione,librettista
69345,L'amico Fritz,"Mascagni, Pietro",relazione,compositore
69345,L'amico Fritz,"Daspuro, Nicola",relazione,librettista
69346,Le maschere,"Mascagni, Pietro",relazione,compositore
69346,Le maschere,"Illica, Luigi",relazione,librettista
69347,Manon,"Massenet, Jules",relazione,compositore
69347,Manon,"Meilhac, Henri",relazione,librettista
69347,Manon,"Gille, Philippe",relazione,librettista
69347,Manon,"Prévost, Antoine-François",relazione,testo di
69348,Werther,"Massenet, Jules",relazione,compositore
69348,Werther,"Milliet, Paul",relazione,librettista
69348,Werther,"Blau, Édouard",relazione,librettista
69348,Werther,"Hartmann, Georges",relazione,librettista
69349,L'incoronazione di Poppea,"Monteverdi, Claudio",relazione,compositore
69349,L'incoronazione di Poppea,"Busenello, Giovanni Francesco",relazione,librettista
69350,"La clemenza di Tito, K 621","Mozart, Wolfgang Amadeus",relazione,compositore
69350,"La clemenza di Tito, K 621","Metastasio, Pietro",relazione,testo di
69350,"La clemenza di Tito, K 621","Mazzolà, Caterino",relazione,librettista
69351,"Così fan tutte ossia La scuola degli amanti, K 588","Mozart, Wolfgang Amadeus",relazione,compositore
69351,"Così fan tutte ossia La scuola degli amanti, K 588","Da Ponte, Lorenzo",relazione,librettista
69352,"Don Giovanni, K 527","Mozart, Wolfgang Amadeus",relazione,compositore
69352,"Don Giovanni, K 527","Da Ponte, Lorenzo",relazione,librettista
69353,"Die Entführung aus dem Serail / Il ratto dal serraglio, K 384","Mozart, Wolfgang Amadeus",relazione,compositore
69353,"Die Entführung aus dem Serail / Il ratto dal serraglio, K 384","Stephanie, Johann Gottlob",relazione,librettista
69354,"Idomeneo, re di Creta, K 366","Mozart, Wolfgang Amadeus",relazione,compositore
69354,"Idomeneo, re di Creta, K 366","Varesco, Giambattista",relazione,librettista
69355,"Le nozze di Figaro, K 492","Mozart, Wolfgang Amadeus",relazione,compositore
69355,"Le nozze di Figaro, K 492","Da Ponte, Lorenzo",relazione,librettista
69356,"Requiem, soli,coro,orch, Re min., K 626","Mozart, Wolfgang Amadeus",relazione,compositore
69357,"Die Zauberflöte, K 620","Mozart, Wolfgang Amadeus",relazione,compositore
69357,"Die Zauberflöte, K 620","Schikaneder, Emanuel Johann Joseph",relazione,librettista
69358,Boris Godunov,"Musorgskij, Modest",relazione,"compositore,librettista"
69358,Boris Godunov,"Puškin, Aleksandr Sergeevic",relazione,testo di
69359,Soro|cinskaja jarmarka / La fiera di Sorocinskij,"Musorgskij, Modest",relazione,compositore
69359,Soro|cinskaja jarmarka / La fiera di Sorocinskij,"Gogol', Nicolaj Vasil'evi|c",relazione,librettista
69360,Die lustigen Weiber von Windsor / Le allegre comari di Windsor,"Nicolai, Otto",relazione,compositore
69360,Die lustigen Weiber von Windsor / Le allegre comari di Windsor,"Mosenthal, Salomon Hermann von",relazione,librettista
69361,"In questa tomba oscura, voce,pf, op. (133)","Beethoven, Ludwig van",relazione,compositore
69361,"In questa tomba oscura, voce,pf, op. (133)","Carpani, Giuseppe",relazione,librettista
69362,"Sonata, vl, Sol min., B g5, Trillo del Diavolo","Tartini, Giuseppe",relazione,compositore
69363,Saffo,"Pacini, Giovanni",relazione,compositore
69363,Saffo,"Cammarano, Salvatore",relazione,librettista
69364,La serva padrona,"Pergolesi, Giovanni Battista",relazione,compositore
69364,La serva padrona,"Federico, Gennaro Antonio",relazione,librettista
69365,"Ljubov'k trëm apel'sinam / L'amore delle tre melarance, op. 33","Prokof'ev, Sergej",relazione,"compositore,librettista"
69365,"Ljubov'k trëm apel'sinam / L'amore delle tre melarance, op. 33","Gozzi, Carlo",relazione,testo di
69366,La bohème,"Puccini, Giacomo",relazione,compositore
69366,La bohème,"Illica, Luigi",relazione,librettista
69366,La bohème,"Giacosa, Giuseppe",relazione,librettista
69366,La bohème,"Murger, Henry",relazione,autore dell'opera letteraria del libretto
69367,Boléro,"Ravel, Maurice",relazione,compositore
