"id";"fullpath";"dcTitle"
"9578";"/Persone/Auber, Daniel-François-Esprit (9578)";"Auber, Daniel-François-Esprit"
"9579";"/Persone/Barber, Samuel (9579)";"Barber, Samuel"
"9580";"/Persone/Bartók, Béla (9580)";"Bartók, Béla"
"9581";"/Persone/Beethoven, Ludwig van (9581)";"Beethoven, Ludwig van"
"9582";"/Persone/Bellini, Vincenzo (9582)";"Bellini, Vincenzo"
"9583";"/Persone/Berlioz, Hector (9583)";"Berlioz, Hector"
"9584";"/Persone/Bizet, Georges (9584)";"Bizet, Georges"
"9585";"/Persone/Boito, Arrigo (9585)";"Boito, Arrigo"
"9586";"/Persone/Borodin, Aleksandr P. (9586)";"Borodin, Aleksandr P."
"9588";"/Persone/Čajkovskij, Pëtr Il'ič (9588)";"Čajkovskij, Pëtr Il'ič"
"9589";"/Persone/Catalani, Alfredo (9589)";"Catalani, Alfredo"
"9590";"/Persone/Charpentier, Gustave (9590)";"Charpentier, Gustave"
"9591";"/Persone/Cherubini, Luigi (9591)";"Cherubini, Luigi"
"9592";"/Persone/Cilea, Francesco (9592)";"Cilea, Francesco"
"9593";"/Persone/Cimarosa, Domenico (9593)";"Cimarosa, Domenico"
"9594";"/Persone/Debussy, Claude (9594)";"Debussy, Claude"
"9595";"/Persone/Delibes, Léo (9595)";"Delibes, Léo"
"9596";"/Persone/Donizetti, Gaetano (9596)";"Donizetti, Gaetano"
"9597";"/Persone/Flotow, Friedrich von (9597)";"Flotow, Friedrich von"
"9598";"/Persone/Gershwin, George (9598)";"Gershwin, George"
"9599";"/Persone/Giordano, Umberto (9599)";"Giordano, Umberto"
"9600";"/Persone/Glinka, Mikhail (9600)";"Glinka, Mikhail"
"9601";"/Persone/Gluck, Christoph Willibald (9601)";"Gluck, Christoph Willibald"
"9602";"/Persone/Gounod, Charles (9602)";"Gounod, Charles"
"9603";"/Persone/Händel, Georg Friedrich (9603)";"Händel, Georg Friedrich"
"9604";"/Persone/Haydn, Franz Joseph (9604)";"Haydn, Franz Joseph"
"9605";"/Persone/Honegger, Arthur (9605)";"Honegger, Arthur"
"9606";"/Persone/Humperdinck, Engelbert (9606)";"Humperdinck, Engelbert"
"9607";"/Persone/Janácek, Leós (9607)";"Janácek, Leós"
"9608";"/Persone/Leoncavallo, Ruggero (9608)";"Leoncavallo, Ruggero"
"9609";"/Persone/Lualdi, Adriano (9609)";"Lualdi, Adriano"
"9610";"/Persone/Martini, Giovanni Battista (9610)";"Martini, Giovanni Battista"
