"id";"fullpath";"published";"dcTitle";"dcDescription";"from";"to";"datetext";"Luogo rappresentazione";"Enti collegati";"Persone collegate";"Recite collegate";"Opere musicali collegate"
"53735";"/Produzioni/1991 Don Pasquale (53735)";"1";"Don Pasquale";"";"1991-02-19";"1991-02-19";"1991";"[
    {
        ""Id"": 187,
        ""nome"": ""Reggio Emilia"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 8715,
        ""nome"": ""Teatro Municipale Valli"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 29716,
        ""Nome"": ""I Teatri di Reggio Emilia"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 9992,
        ""Nome"": ""Madau Diaz, Antonello"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 9995,
        ""Nome"": ""Versace, Gianni"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 9993,
        ""Nome"": ""Cristini, Giorgio"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57281,
        ""Nome"": ""Don Pasquale"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57282,
        ""Nome"": ""Don Pasquale"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57283,
        ""Nome"": ""Don Pasquale"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57284,
        ""Nome"": ""Don Pasquale"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 69327,
        ""Nome"": ""Don Pasquale"",
        ""Ruolo"": """"
    }
]"
"53736";"/Produzioni/1997 Caterina di Heilbronn o La prova del fuoco (53736)";"1";"Caterina di Heilbronn o La prova del fuoco";"";"1997-12-03";"1997-12-03";"1997";"[
    {
        ""Id"": 121,
        ""nome"": ""Brescia"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 8693,
        ""nome"": ""Teatro Grande"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 29688,
        ""Nome"": ""ERT Emilia Romagna Teatro"",
        ""Ruolo"": ""produzione""
    },
    {
        ""Identificativo"": 29784,
        ""Nome"": ""CBT Centro Teatrale Bresciano"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 10013,
        ""Nome"": ""Lievi, Cesare"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 31739,
        ""Nome"": ""Lievi, Daniele"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10008,
        ""Nome"": ""Perego, Luigi"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10010,
        ""Nome"": ""Schiavone, Daniela"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10159,
        ""Nome"": ""Saccomandi, Gigi"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57201,
        ""Nome"": ""Caterina di Heilbronn o La prova del fuoco"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57200,
        ""Nome"": ""Caterina di Heilbronn o La prova del fuoco"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57199,
        ""Nome"": ""Caterina di Heilbronn o La prova del fuoco"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57198,
        ""Nome"": ""Caterina di Heilbronn o La prova del fuoco"",
        ""Ruolo"": """"
    }
]";"[]"
"53737";"/Produzioni/1998 La Gatta Cenerentola (53737)";"1";"La Gatta Cenerentola";"Media Aetas Teatro (EN-)";"1998-01-01";"1998-12-31";"1998";"[
    {
        ""Id"": 187,
        ""nome"": ""Reggio Emilia"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 8715,
        ""nome"": ""Teatro Municipale Valli"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 29783,
        ""Nome"": ""Media Aetas Teatro"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 10056,
        ""Nome"": ""De Simone, Roberto"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10074,
        ""Nome"": ""Nicoletti, Odette"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10073,
        ""Nome"": ""Carosi, Mauro"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57186,
        ""Nome"": ""La gatta Cenerentola"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57185,
        ""Nome"": ""La gatta Cenerentola"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57184,
        ""Nome"": ""La gatta Cenerentola"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57183,
        ""Nome"": ""La gatta Cenerentola"",
        ""Ruolo"": """"
    }
]";"[]"
"53738";"/Produzioni/1998 La guerra (53738)";"1";"La guerra";"";"1998-01-11";"1998-01-11";"1998";"[
    {
        ""Id"": 8000,
        ""nome"": ""Treviso"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 9059,
        ""nome"": ""Teatro Comunale"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 29772,
        ""Nome"": ""TSV Teatro Stabile del Veneto"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 11321,
        ""Nome"": ""Mazzocchetti, Germano"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10160,
        ""Nome"": ""Squarzina, Luigi"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10162,
        ""Nome"": ""Lawrence, Claudia"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10163,
        ""Nome"": ""Saleri, Jurai"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10161,
        ""Nome"": ""Gregori, Graziano"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57210,
        ""Nome"": ""La guerra"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57209,
        ""Nome"": ""La guerra"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57208,
        ""Nome"": ""La guerra"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57207,
        ""Nome"": ""La guerra"",
        ""Ruolo"": """"
    }
]";"[]"
"53739";"/Produzioni/1992 Plaza Suite (53739)";"1";"Plaza Suite";"Plexus T (EN-)";"1992-01-01";"1992-01-31";"1992";"[
    {
        ""Id"": 187,
        ""nome"": ""Reggio Emilia"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 9415,
        ""nome"": ""Teatro Ariosto"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 29691,
        ""Nome"": ""Plexus T"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 10191,
        ""Nome"": ""Ferro, Guglielmo"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 31582,
        ""Nome"": ""Di Piero, Annalisa"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 31550,
        ""Nome"": ""Chiti, Alessandro"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57202,
        ""Nome"": ""Plaza Suite"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57203,
        ""Nome"": ""Plaza Suite"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57204,
        ""Nome"": ""Plaza Suite"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57205,
        ""Nome"": ""Plaza Suite"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57206,
        ""Nome"": ""Plaza Suite"",
        ""Ruolo"": """"
    }
]";"[]"
"53740";"/Produzioni/1998 Donna del mare (53740)";"1";"Donna del mare";"";"1998-05-05";"1998-05-05";"1998";"[
    {
        ""Id"": 138,
        ""nome"": ""Ferrara"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 8654,
        ""nome"": ""Teatro Comunale"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 29688,
        ""Nome"": ""ERT Emilia Romagna Teatro"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 10202,
        ""Nome"": ""Wilson, Robert"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10203,
        ""Nome"": ""Armani, Giorgio"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 26672,
        ""Nome"": ""Weissbard, A.J."",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10204,
        ""Nome"": ""Galasso, Michael"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57362,
        ""Nome"": ""La donna del mare"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57363,
        ""Nome"": ""La donna del mare"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57211,
        ""Nome"": ""La donna del mare"",
        ""Ruolo"": """"
    }
]";"[]"
"53741";"/Produzioni/1985 La grande magia (53741)";"1";"La grande magia";"Piccolo Teatro di Milano/Teatro d&#39;Europa , (EN-)";"1985-05-03";"1985-05-03";"1985";"[
    {
        ""Id"": 162,
        ""nome"": ""Milano"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 8598,
        ""nome"": ""Piccolo Teatro"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 29788,
        ""Nome"": ""Piccolo Teatro di Milano/Teatro d'Europa"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 11270,
        ""Nome"": ""Carpi, Fiorenzo"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10020,
        ""Nome"": ""Strehler, Giorgio"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11269,
        ""Nome"": ""Spinatelli, Luisa"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10022,
        ""Nome"": ""Frigerio, Ezio"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57364,
        ""Nome"": ""La grande magia"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57365,
        ""Nome"": ""La grande magia"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57366,
        ""Nome"": ""La grande magia"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57367,
        ""Nome"": ""La grande magia"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57368,
        ""Nome"": ""La grande magia"",
        ""Ruolo"": """"
    }
]";"[]"
"53742";"/Produzioni/1998 The Rake's Progress (53742)";"1";"The Rake's Progress";"Teatro Comunale , Modena (EN-), I Teatri , Reggio Emilia (EN-), Teatro Comunale , Ferrara (EN-), Teatro Municipale , Piacenza (EN-), Teatro Alighieri , Ravenna (EN-)";"1998-12-04";"1998-12-04";"1998";"[
    {
        ""Id"": 163,
        ""nome"": ""Modena"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 8654,
        ""nome"": ""Teatro Comunale"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 29700,
        ""Nome"": ""Teatro Comunale di Modena"",
        ""Ruolo"": ""produzione""
    },
    {
        ""Identificativo"": 29713,
        ""Nome"": ""Teatro Comunale di Ferrara"",
        ""Ruolo"": ""produzione""
    },
    {
        ""Identificativo"": 29714,
        ""Nome"": ""Teatro Municipale di Piacenza"",
        ""Ruolo"": ""produzione""
    },
    {
        ""Identificativo"": 29716,
        ""Nome"": ""I Teatri di Reggio Emilia"",
        ""Ruolo"": ""produzione""
    },
    {
        ""Identificativo"": 29785,
        ""Nome"": ""Teatro Dante Alighieri"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 10013,
        ""Nome"": ""Lievi, Cesare"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10010,
        ""Nome"": ""Schiavone, Daniela"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10008,
        ""Nome"": ""Perego, Luigi"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10007,
        ""Nome"": ""Antal, Csába"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57176,
        ""Nome"": ""The Rake's Progress"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57177,
        ""Nome"": ""The Rake's Progress"",
        ""Ruolo"": """"
    }
]";"[]"
"53743";"/Produzioni/1999 Werther (53743)";"1";"Werther";"";"1999-03-24";"1999-03-24";"1999";"[
    {
        ""Id"": 187,
        ""nome"": ""Reggio Emilia"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 8715,
        ""nome"": ""Teatro Municipale Valli"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 29672,
        ""Nome"": ""Teatro Regio di Parma"",
        ""Ruolo"": ""produzione""
    },
    {
        ""Identificativo"": 29700,
        ""Nome"": ""Teatro Comunale di Modena"",
        ""Ruolo"": ""produzione""
    },
    {
        ""Identificativo"": 29716,
        ""Nome"": ""I Teatri di Reggio Emilia"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 31538,
        ""Nome"": ""Fassini, Alberto"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10215,
        ""Nome"": ""De Vico, Mario"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10035,
        ""Nome"": ""Grossi, Pasquale"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57182,
        ""Nome"": ""Werther"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57181,
        ""Nome"": ""Werther"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57180,
        ""Nome"": ""Werther"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 69348,
        ""Nome"": ""Werther"",
        ""Ruolo"": """"
    }
]"
"53744";"/Produzioni/1999 Andrea Chénier (53744)";"1";"Andrea Chénier";"";"1999-03-21";"1999-03-21";"1999";"[
    {
        ""Id"": 173,
        ""nome"": ""Parma"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 8733,
        ""nome"": ""Teatro Regio"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 29672,
        ""Nome"": ""Teatro Regio di Parma"",
        ""Ruolo"": ""produzione""
    },
    {
        ""Identificativo"": 29714,
        ""Nome"": ""Teatro Municipale di Piacenza"",
        ""Ruolo"": ""produzione""
    },
    {
        ""Identificativo"": 29716,
        ""Nome"": ""I Teatri di Reggio Emilia"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 10052,
        ""Nome"": ""Mazzucchelli, Fausta"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 13178,
        ""Nome"": ""Borelli, Andrea"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10050,
        ""Nome"": ""Stefanutti, Ivan"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57961,
        ""Nome"": ""Andrea Chénier"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57962,
        ""Nome"": ""Andrea Chénier"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 69336,
        ""Nome"": ""Andrea Chénier"",
        ""Ruolo"": """"
    }
]"
