id,titolo_breve,production_id,dcTitle,from,to,datetext,luogo_nome,luogo_id,edificio_nome,edificio_id,composizione_nome,composizione_id,fullpath
57176,The Rake's Progress,,The Rake's Progress,1999-01-07,1999-01-07,07/01/1999,Reggio Emilia,187,Teatro Municipale Valli,8715,"1951 The Rake's Progress - La carriera del libertino, op. 5",69446,/Recite/07-01-1999 The Rake's Progress (57176)
57177,The Rake's Progress,,The Rake's Progress,1999-01-10,1999-01-10,10/01/1999,Reggio Emilia,187,Teatro Municipale Valli,8715,"1951 The Rake's Progress - La carriera del libertino, op. 5",69446,/Recite/10-01-1999 The Rake's Progress (57177)
57178,Così fan tutte,,Così fan tutte,1999-02-22,1999-02-22,22/02/1999,Reggio Emilia,187,Teatro Municipale Valli,8715,"1790 Così fan tutte ossia La scuola degli amanti, K 588",69351,/Recite/22-02-1999 Così fan tutte (57178)
57179,Così fan tutte,,Così fan tutte,1999-02-23,1999-02-23,23/02/1999,Reggio Emilia,187,Teatro Municipale Valli,8715,"1790 Così fan tutte ossia La scuola degli amanti, K 588",69351,/Recite/23-02-1999 Così fan tutte (57179)
57180,Werther,,Werther,1999-03-24,1999-03-24,24/03/1999,Reggio Emilia,187,Teatro Municipale Valli,8715,1885 - 1887 Werther,69348,/Recite/24-03-1999 Werther (57180)
57181,Werther,,Werther,1999-03-26,1999-03-26,26/03/1999,Reggio Emilia,1911,Teatro Municipale Valli,8715,1885 - 1887 Werther,69348,/Recite/26-03-1999 Werther (57181)
57182,Werther,,Werther,1999-03-28,1999-03-28,28/03/1999,Reggio Emilia,1911,Teatro Municipale Valli,8715,1885 - 1887 Werther,69348,/Recite/28-03-1999 Werther (57182)
57183,La gatta Cenerentola,,La gatta Cenerentola,1998-10-29,1998-10-29,29/10/1998,Reggio Emilia,187,Teatro Municipale Valli,8715,,,/Recite/29-10-1998 La gatta Cenerentola (57183)
57184,La gatta Cenerentola,,La gatta Cenerentola,1998-10-30,1998-10-30,30/10/1998,Reggio Emilia,187,Teatro Municipale Valli,8715,,,/Recite/30-10-1998 La gatta Cenerentola (57184)
57185,La gatta Cenerentola,,La gatta Cenerentola,1998-10-31,1998-10-31,31/10/1998,Reggio Emilia,187,Teatro Municipale Valli,8715,,,/Recite/31-10-1998 La gatta Cenerentola (57185)
57186,La gatta Cenerentola,,La gatta Cenerentola,1998-11-01,1998-11-01,01/11/1998,Reggio Emilia,187,Teatro Municipale Valli,8715,,,/Recite/01-11-1998 La gatta Cenerentola (57186)
57187,"24-11-1998 Aterballetto.
Trittico per Leopardi",,"Aterballetto.
Trittico per Leopardi",1998-11-24,1998-11-24,24/11/1998,Reggio Emilia,187,Teatro Municipale Valli,8715,,,"/Recite/24-11-1998 Aterballetto.
Trittico per Leopardi (57187)"
57188,Sylvie Guillem e Jonathan Cope con Aterballetto,,Sylvie Guillem e Jonathan Cope con Aterballetto,1999-06-02,1999-06-02,02/06/1999,Reggio Emilia,187,Teatro Municipale Valli,8715,,,/Recite/02-06-1999 Sylvie Guillem e Jonathan Cope con Aterballetto (57188)
57189,Hollywood. Ritratto di un divo,,Hollywood. Ritratto di un divo,1999-11-18,1999-11-18,18/11/1999,Reggio Emilia,187,Teatro Municipale Valli,8715,Hollywood,69456,/Recite/18-11-1999 Hollywood. Ritratto di un divo (57189)
57190,Hollywood. Ritratto di un divo,,Hollywood. Ritratto di un divo,1999-11-19,1999-11-19,19/11/1999,Reggio Emilia,187,Teatro Municipale Valli,8715,Hollywood,69456,/Recite/19-11-1999 Hollywood. Ritratto di un divo (57190)
57191,Hollywood. Ritratto di un divo,,Hollywood. Ritratto di un divo,1999-11-20,1999-11-20,20/11/1999,Reggio Emilia,187,Teatro Municipale Valli,8715,Hollywood,69456,/Recite/20-11-1999 Hollywood. Ritratto di un divo (57191)
57192,Hollywood. Ritratto di un divo,,Hollywood. Ritratto di un divo,1999-11-21,1999-11-21,21/11/1999,Reggio Emilia,187,Teatro Municipale Valli,8715,Hollywood,69456,/Recite/21-11-1999 Hollywood. Ritratto di un divo (57192)
57193,Il gabbiano,,Il gabbiano,1999-12-03,1999-12-03,03/12/1999,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/03-12-1999 Il gabbiano (57193)
57194,Il gabbiano,,Il gabbiano,1999-12-04,1999-12-04,04/12/1999,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/04-12-1999 Il gabbiano (57194)
57195,Il gabbiano,,Il gabbiano,1999-12-05,1999-12-05,05/12/1999,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/05-12-1999 Il gabbiano (57195)
57196,Il ritorno a casa,,Il ritorno a casa,1999-12-15,1999-12-15,15/12/1999,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/15-12-1999 Il ritorno a casa (57196)
57197,Il ritorno a casa,,Il ritorno a casa,1999-12-16,1999-12-16,16/12/1999,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/16-12-1999 Il ritorno a casa (57197)
57198,Caterina di Heilbronn o La prova del fuoco,,Caterina di Heilbronn o La prova del fuoco,1998-11-12,1998-11-12,12/11/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/12-11-1998 Caterina di Heilbronn o La prova del fuoco (57198)
57199,Caterina di Heilbronn o La prova del fuoco,,Caterina di Heilbronn o La prova del fuoco,1998-11-13,1998-11-13,13/11/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/13-11-1998 Caterina di Heilbronn o La prova del fuoco (57199)
57200,Caterina di Heilbronn o La prova del fuoco,,Caterina di Heilbronn o La prova del fuoco,1998-11-14,1998-11-14,14/11/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/14-11-1998 Caterina di Heilbronn o La prova del fuoco (57200)
57201,Caterina di Heilbronn o La prova del fuoco,,Caterina di Heilbronn o La prova del fuoco,1998-11-15,1998-11-15,15/11/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/15-11-1998 Caterina di Heilbronn o La prova del fuoco (57201)
57202,Plaza Suite,,Plaza Suite,1998-12-17,1998-12-17,17/12/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/17-12-1998 Plaza Suite (57202)
57203,Plaza Suite,,Plaza Suite,1998-12-18,1998-12-18,18/12/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/18-12-1998 Plaza Suite (57203)
57204,Plaza Suite,,Plaza Suite,1998-12-19,1998-12-19,19/12/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/19-12-1998 Plaza Suite (57204)
57205,Plaza Suite,,Plaza Suite,1998-12-20,1998-12-20,20/12/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/20-12-1998 Plaza Suite (57205)
57206,Plaza Suite,,Plaza Suite,1998-12-20,1998-12-20,20/12/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/20-12-1998 Plaza Suite (57206)
57207,La guerra,,La guerra,1998-11-19,1998-11-19,19/11/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/19-11-1998 La guerra (57207)
57208,La guerra,,La guerra,1998-11-20,1998-11-20,20/11/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/20-11-1998 La guerra (57208)
57209,La guerra,,La guerra,1998-11-21,1998-11-21,21/11/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/21-11-1998 La guerra (57209)
57210,La guerra,,La guerra,1998-11-22,1998-11-22,22/11/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/22-11-1998 La guerra (57210)
57211,La donna del mare,,La donna del mare,1999-01-08,1999-01-08,08/01/1999,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/08-01-1999 La donna del mare (57211)
57212,Falstaff,,Falstaff,2000-01-23,2000-01-23,23/01/2000,Reggio Emilia,187,Teatro Municipale Valli,8715,1893 Falstaff,69425,/Recite/23-01-2000 Falstaff (57212)
57213,Falstaff,,Falstaff,2000-01-25,2000-01-25,25/01/2000,Reggio Emilia,187,Teatro Municipale Valli,8715,1893 Falstaff,69425,/Recite/25-01-2000 Falstaff (57213)
57214,"05-12-1999 Cullberg Ballet.
La bella addormentata",,"Cullberg Ballet.
La bella addormentata",1999-12-05,1999-12-05,05/12/1999,Reggio Emilia,187,Teatro Municipale Valli,8715,,,"/Recite/05-12-1999 Cullberg Ballet.
La bella addormentata (57214)"
57215,Un'altra storia,,Un'altra storia,2000-01-14,2000-01-14,14/01/2000,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/14-01-2000 Un'altra storia (57215)
57216,Un'altra storia,,Un'altra storia,2000-01-15,2000-01-15,15/01/2000,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/15-01-2000 Un'altra storia (57216)
57217,Un'altra storia,,Un'altra storia,2000-01-16,2000-01-16,16/01/2000,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/16-01-2000 Un'altra storia (57217)
57218,Sosta Palmizi-Raffaella Giordano,,Sosta Palmizi/Raffaella Giordano,2000-01-22,2000-01-22,22/01/2000,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/22-01-2000 Sosta Palmizi-Raffaella Giordano (57218)
57219,Delirio a due... o a quanti se ne vuole,,Delirio a due... o a quanti se ne vuole,2000-02-02,2000-02-02,02/02/2000,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/02-02-2000 Delirio a due... o a quanti se ne vuole (57219)
