id_recita,curatore_nome,curatore_id,curatore_ruolo
57176,"Neschling, John",10006,direzione d'orchestra
57176,"Sebastiani, Franco",10009,maestro del coro
57177,"Neschling, John",10006,direzione d'orchestra
57177,"Sebastiani, Franco",10009,maestro del coro
57178,"Marin, Ion",10021,direzione d'orchestra
57178,"Caiani, Alfonso",10024,maestro del coro
57179,"Marin, Ion",10021,direzione d'orchestra
57179,"Caiani, Alfonso",10024,maestro del coro
57180,"Giovaninetti, Reynald",9956,direzione d'orchestra
57180,"Lassen, Marta",10036,maestro del coro
57181,"Giovaninetti, Reynald",9956,direzione d'orchestra
57181,"Lassen, Marta",10036,maestro del coro
57182,"Giovaninetti, Reynald",9956,direzione d'orchestra
57182,"Lassen, Marta",10036,maestro del coro
57187,"Rota, Marcello",10754,direzione d'orchestra
57212,"Fournillier, Patrick",10211,direzione d'orchestra
57212,"Sebastiani, Franco",10009,maestro del coro
57213,"Fournillier, Patrick",10211,direzione d'orchestra
57213,"Sebastiani, Franco",10009,maestro del coro
57222,"Parisi, Vittorio",10268,direzione d'orchestra
57222,"Rolli, Ugo",10269,maestro del coro
57227,"De Bernart, Massimo",10301,direzione d'orchestra
57227,"Egaddi, Edgardo",10302,maestro del coro
57228,"De Bernart, Massimo",10301,direzione d'orchestra
57228,"Egaddi, Edgardo",10302,maestro del coro
57229,"De Bernart, Massimo",10301,direzione d'orchestra
57229,"Egaddi, Edgardo",10302,maestro del coro
57230,"Gatti, Daniele",10077,direzione d'orchestra
57230,"Monti, Piero",10366,maestro del coro
57231,"Marin, Ion",10021,direzione d'orchestra
57231,"Di Stefano, Giovanni",9994,maestro del coro
57232,"Bellugi, Piero",9934,direzione d'orchestra
57233,"Pidò, Evelino",10378,direzione d'orchestra
57233,"Monti, Piero",10366,maestro del coro
57235,"Jurowski, Vladimir",10364,direzione d'orchestra
57235,"Monti, Piero",10366,maestro del coro
57236,"Abbado, Claudio",10324,direzione d'orchestra
57236,"Tunioli, Giordano",10393,maestro del coro
57237,"Abbado, Claudio",10324,direzione d'orchestra
57237,"Tunioli, Giordano",10393,maestro del coro
57238,"Bertini, Gary",10403,direzione d'orchestra
57238,"Monti, Piero",10366,maestro del coro
57239,"Agler, David",10430,direzione d'orchestra
57239,"Di Stefano, Giovanni",9994,maestro del coro
57240,"Agler, David",10430,direzione d'orchestra
57240,"Di Stefano, Giovanni",9994,maestro del coro
57241,"Agler, David",10430,direzione d'orchestra
57241,"Di Stefano, Giovanni",9994,maestro del coro
57242,"Navarro, Garcia",10447,direzione d'orchestra
57242,"Monti, Piero",10366,maestro del coro
57243,"Aprea, Bruno",10461,direzione d'orchestra
57243,"Di Stefano, Giovanni",9994,maestro del coro
57252,"Morandi, Pier Giorgio",10543,direzione d'orchestra
57252,"Colò, Stefano",10544,maestro del coro
57253,"Zedda, Alberto",31539,direzione d'orchestra
57253,"Parmeggiani, Roberto",10537,maestro del coro
57254,"Zedda, Alberto",31539,direzione d'orchestra
57254,"Parmeggiani, Roberto",10537,maestro del coro
