id_recita,esecutore_nome,esecutore_id,esecutore_ruolo
57176,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57176,Coro del Teatro Comunale di Modena,29457,coro
57177,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57177,Coro del Teatro Comunale di Modena,29457,coro
57178,Orchestra Sinfonica di Milano Giuseppe Verdi,29458,orchestra
57178,Coro Claudio Merulo di Reggio Emilia,29459,coro
57179,Orchestra Sinfonica di Milano Giuseppe Verdi,29458,orchestra
57179,Coro Claudio Merulo di Reggio Emilia,29459,coro
57180,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57180,Coro di voci bianche dell'Istituto Musicale A. Peri,29460,coro
57181,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57181,Coro di voci bianche dell'Istituto Musicale A. Peri,29460,coro
57182,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57182,Coro di voci bianche dell'Istituto Musicale A. Peri,29460,coro
57187,Orchestra Filarmonica Marchigiana,29464,orchestra
57187,Aterballetto,29463,compagnia di balletto/danza
57188,Aterballetto,29463,compagnia di balletto/danza
57212,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57212,Coro Claudio Merulo di Reggio Emilia,29459,coro
57213,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57213,Coro Claudio Merulo di Reggio Emilia,29459,coro
57214,Cullberg Ballet Riksteatern,29467,interprete
57218,Sosta Palmizi,29469,interprete
57222,Coro Ferdinando Paer,32207,coreografie
57222,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57222,Aterballetto,29463,compagnia di balletto/danza
57227,Orchestra Internazionale d'Italia,29471,orchestra
57227,Coro del Teatro Municipale Romolo Valli,29455,coro
57228,Orchestra Internazionale d'Italia,29471,orchestra
57228,Coro del Teatro Municipale Romolo Valli,29455,coro
57229,Orchestra Internazionale d'Italia,29471,orchestra
57229,Coro del Teatro Municipale Romolo Valli,29455,coro
57230,Orchestra Sinfonica del Teatro Comunale di Bologna,29473,orchestra
57230,Coro del Teatro Comunale di Bologna,29474,coro
57231,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57231,Coro del Teatro Municipale Romolo Valli,29455,coro
57232,ORT Orchestra Regionale Toscana,31950,orchestra
57233,Orchestra Sinfonica del Teatro Comunale di Bologna,29473,orchestra
57233,Coro del Teatro Comunale di Bologna,29474,coro
57235,Orchestra Sinfonica del Teatro Comunale di Bologna,29473,orchestra
57235,Coro del Teatro Comunale di Bologna,29474,coro
57236,Chamber Orchestra of Europe,29475,orchestra
57236,Coro Ferrara Musica,29476,coro
57237,Chamber Orchestra of Europe,29475,orchestra
57237,Coro Ferrara Musica,29476,coro
57238,Orchestra Sinfonica del Teatro Comunale di Bologna,29473,orchestra
57238,Coro del Teatro Comunale di Bologna,29474,coro
57239,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57239,Coro del Teatro Municipale Romolo Valli,29455,coro
57240,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57240,Coro del Teatro Municipale Romolo Valli,29455,coro
57241,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57241,Coro del Teatro Municipale Romolo Valli,29455,coro
57242,Orchestra del Teatro Comunale di Bologna,29914,orchestra
57242,Coro del Teatro Comunale di Bologna,29474,coro
57243,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57243,Coro del Teatro Municipale Romolo Valli,29455,coro
57243,Teatro Sperimentale dei Burattini e delle Marionette di Otello Sarzi,29481,compagnia di prosa
57246,Orchestra del Teatro Bellini di Napoli,29485,interprete
57247,Orchestra del Teatro Bellini di Napoli,29485,interprete
57248,Orchestra del Teatro Bellini di Napoli,29485,interprete
57252,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57252,Coro del Teatro Comunale di Modena,29457,coro
57253,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57253,Coro del Teatro Municipale Romolo Valli,29455,coro
57254,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57254,Coro del Teatro Municipale Romolo Valli,29455,coro
57255,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57255,Coro del Teatro Municipale Romolo Valli,29455,coro
57256,Orchestra del Teatro Regio di Parma,29500,orchestra
57256,Coro del Teatro Regio Cooperativa Artisti del coro,29501,coro
57257,Orchestra del Teatro Regio di Parma,29500,orchestra
57257,Coro del Teatro Regio Cooperativa Artisti del coro,29501,coro
57258,Orchestra del Teatro Regio di Parma,29500,orchestra
57258,Coro del Teatro Regio Cooperativa Artisti del coro,29501,coro
57259,Orchestra Sinfonica del Teatro Comunale di Bologna,29473,orchestra
57259,Coro del Teatro Comunale di Bologna,29474,coro
57260,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57260,Coro del Teatro Municipale Romolo Valli,29455,coro
57261,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57261,Coro del Teatro Municipale Romolo Valli,29455,coro
57262,Orchestra del Teatro Accademico Nazionale dell'Opera e del Balletto Malyi,29502,orchestra
57262,Coro del Teatro Accademico Nazionale dell'Opera e del Balletto Malyi di Leningrado,29503,coro
57263,Orchestra del Teatro Accademico Nazionale dell'Opera e del Balletto Malyi,29502,orchestra
57263,Coro del Teatro Accademico Nazionale dell'Opera e del Balletto Malyi di Leningrado,29503,coro
57264,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57264,Coro del Teatro Regio Cooperativa Artisti del coro,29501,coro
57265,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57265,Coro del Teatro Regio Cooperativa Artisti del coro,29501,coro
57266,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57266,Coro del Teatro Regio Cooperativa Artisti del coro,29501,coro
57267,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57267,Coro del Teatro Regio Cooperativa Artisti del coro,29501,coro
57267,Coro di voci bianche della corale Giuseppe Verdi,29504,coro
57268,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57268,Coro del Teatro Regio Cooperativa Artisti del coro,29501,coro
57268,Coro di voci bianche della corale Giuseppe Verdi,29504,coro
57269,Orchestra Sinfonica del Teatro Comunale di Bologna,29473,orchestra
57269,Coro del Teatro Comunale di Bologna,29474,coro
57270,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57270,Coro del Teatro Regio Cooperativa Artisti del coro,29501,coro
57271,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57271,Coro del Teatro Regio Cooperativa Artisti del coro,29501,coro
57272,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57272,Coro del Teatro Municipale Romolo Valli,29455,coro
57273,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57273,Coro del Teatro Municipale Romolo Valli,29455,coro
57274,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57274,Coro del Teatro Municipale Romolo Valli,29455,coro
57275,Orchestra Sinfonica del Teatro Comunale di Bologna,29473,orchestra
57275,Coro del Teatro Comunale di Bologna,29474,coro
57276,Orchestra Sinfonica del Teatro Comunale di Bologna,29473,orchestra
57276,Coro del Teatro Comunale di Bologna,29474,coro
57277,Banda dell'Istituto musicale Achille Peri,29505,orchestra
57277,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57277,Coro del Teatro Municipale Romolo Valli,29455,coro
57278,Banda dell'Istituto musicale Achille Peri,29505,orchestra
57278,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57278,Coro del Teatro Municipale Romolo Valli,29455,coro
57279,Banda dell'Istituto musicale Achille Peri,29505,orchestra
57279,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57279,Coro del Teatro Municipale Romolo Valli,29455,coro
57280,Banda dell'Istituto musicale Achille Peri,29505,orchestra
57280,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57280,Coro del Teatro Municipale Romolo Valli,29455,coro
57281,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57281,Coro del Teatro Municipale Romolo Valli,29455,coro
57282,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57282,Coro del Teatro Municipale Romolo Valli,29455,coro
57283,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57283,Coro del Teatro Municipale Romolo Valli,29455,coro
57284,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57284,Coro del Teatro Municipale Romolo Valli,29455,coro
57285,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57285,Coro del Teatro Comunale di Modena,29457,coro
57286,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57286,Coro del Teatro Comunale di Modena,29457,coro
57287,Banda dell'Istituto musicale Achille Peri,29505,orchestra
57287,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57287,Coro del Teatro Municipale Romolo Valli,29455,coro
57288,Banda dell'Istituto musicale Achille Peri,29505,orchestra
57288,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57288,Coro del Teatro Municipale Romolo Valli,29455,coro
57289,Banda dell'Istituto musicale Achille Peri,29505,orchestra
57289,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57289,Coro Claudio Merulo di Reggio Emilia,29459,coro
57290,Banda dell'Istituto musicale Achille Peri,29505,orchestra
57290,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57290,Coro Claudio Merulo di Reggio Emilia,29459,coro
57291,Banda dell'Istituto musicale Achille Peri,29505,orchestra
57291,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57291,Coro Claudio Merulo di Reggio Emilia,29459,coro
57292,Orchestra Sinfonica del Teatro Comunale di Bologna,29473,orchestra
57292,Coro del Teatro Comunale di Bologna,29474,coro
57293,Orchestra Sinfonica del Teatro Comunale di Bologna,29473,orchestra
57293,Coro del Teatro Comunale di Bologna,29474,coro
57294,Orchestra Sinfonica del Teatro Comunale di Bologna,29473,orchestra
57294,Coro del Teatro Comunale di Bologna,29474,coro
57295,Orchestra Sinfonica del Teatro Comunale di Bologna,29473,orchestra
57295,Coro del Teatro Comunale di Bologna,29474,coro
57296,Orchestra Sinfonica giovanile dell'Emilia Romagna A. Toscanini,36263,orchestra
57296,Aterballetto,29463,compagnia di balletto/danza
57297,Orchestra Sinfonica giovanile dell'Emilia Romagna A. Toscanini,36263,orchestra
57297,Aterballetto,29463,compagnia di balletto/danza
57298,Orchestra da camera di Bologna,29506,orchestra
57298,Coro del Teatro Municipale Romolo Valli,29455,coro
57298,Coro di voci bianche dell'Istituto Musicale A. Peri,29460,coro
57299,Orchestra del Teatro Comunale di Bologna,29914,orchestra
57299,Coro del Teatro Comunale di Bologna,29474,coro
57300,Orchestra da camera di Bologna,29506,orchestra
57300,Coro del Teatro Municipale Romolo Valli,29455,coro
57300,Coro di voci bianche dell'Istituto Musicale A. Peri,29460,coro
57301,Orchestra da camera di Bologna,29506,orchestra
57301,Coro del Teatro Municipale Romolo Valli,29455,coro
57301,Coro di voci bianche dell'Istituto Musicale A. Peri,29460,coro
57302,Orchestra da camera di Bologna,29506,orchestra
57302,Coro del Teatro Municipale Romolo Valli,29455,coro
57302,Coro di voci bianche dell'Istituto Musicale A. Peri,29460,coro
57303,Orchestra Sinfonica del Teatro Comunale di Bologna,29473,orchestra
57303,Coro del Teatro Comunale di Bologna,29474,coro
57304,Orchestra Sinfonica del Teatro Comunale di Bologna,29473,orchestra
57304,Coro del Teatro Comunale di Bologna,29474,coro
57305,ORT Orchestra Regionale Toscana,31950,orchestra
57306,Banda dell'Istituto musicale Achille Peri,29505,orchestra
57306,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57306,Coro del Teatro Municipale Romolo Valli,29455,coro
57307,ORT Orchestra Regionale Toscana,31950,orchestra
57308,ORT Orchestra Regionale Toscana,31950,orchestra
57309,Banda dell'Istituto musicale Achille Peri,29505,orchestra
57309,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57309,Coro del Teatro Municipale Romolo Valli,29455,coro
57310,Banda dell'Istituto musicale Achille Peri,29505,orchestra
57310,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57310,Coro del Teatro Municipale Romolo Valli,29455,coro
57311,Orchestra Sinfonica del Teatro Comunale di Bologna,29473,interprete
57312,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57313,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57314,Banda dell'Istituto musicale Achille Peri,29505,orchestra
57314,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57314,Coro del Teatro Municipale Romolo Valli,29455,coro
57314,Compagnia Elleboro,29507,compagnia di balletto/danza
57316,Orchestra Sinfonica del Teatro Comunale di Bologna,29473,orchestra
57317,Orchestra Sinfonica del Teatro Comunale di Bologna,29473,orchestra
57318,Orchestra da camera di Bologna,29506,orchestra
57319,Orchestra da camera di Bologna,29506,orchestra
57320,Orchestra da camera di Bologna,29506,orchestra
57321,Banda dell'Istituto musicale Achille Peri,29505,orchestra
57321,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57321,Coro del Teatro Municipale Romolo Valli,29455,coro
57321,Chor des Oper der Stadt Bonn,29508,coro
57322,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57322,Coro del Teatro Regio Cooperativa Artisti del coro,29501,coro
57323,Banda dell'Istituto musicale Achille Peri,29505,orchestra
57323,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57323,Coro del Teatro Municipale Romolo Valli,29455,coro
57323,Chor des Oper der Stadt Bonn,29508,coro
57324,Banda dell'Istituto musicale Achille Peri,29505,orchestra
57324,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57324,Coro del Teatro Municipale Romolo Valli,29455,coro
57324,Chor des Oper der Stadt Bonn,29508,coro
57325,Orchestra Sinfonica dell'Emilia Romagna Arturo Toscanini,31956,orchestra
57325,Coro del Teatro Regio Cooperativa Artisti del coro,29501,coro
57326,Banda dell'Istituto musicale Achille Peri,29505,orchestra
57326,Orchestra da camera di Bologna,29506,orchestra
57326,Coro del Teatro Municipale Romolo Valli,29455,coro
57326,Coro di voci bianche dell'Istituto Musicale A. Peri,29460,coro
57327,Banda dell'Istituto musicale Achille Peri,29505,orchestra
57327,Orchestra da camera di Bologna,29506,orchestra
57327,Coro del Teatro Municipale Romolo Valli,29455,coro
57327,Coro di voci bianche dell'Istituto Musicale A. Peri,29460,coro
57328,Banda dell'Istituto musicale Achille Peri,29505,orchestra
57328,Orchestra da camera di Bologna,29506,orchestra
57328,Coro del Teatro Municipale Romolo Valli,29455,coro
57328,Coro di voci bianche dell'Istituto Musicale A. Peri,29460,coro
57329,Banda dell'Istituto musicale Achille Peri,29505,orchestra
57329,Orchestra da camera di Bologna,29506,orchestra
57329,Coro del Teatro Municipale Romolo Valli,29455,coro
57329,Coro di voci bianche dell'Istituto Musicale A. Peri,29460,coro
57330,Balthasar-Neumann Ensemble,29516,orchestra
57330,Balthasar-Neumann Chor,29517,coro
57331,Balthasar-Neumann Ensemble,29516,orchestra
57331,Balthasar-Neumann Chor,29517,coro
57332,Ensemble Nextime,29521,orchestra
57332,Aterballetto,29463,compagnia di balletto/danza
57334,Giovane Quartetto Italiano,29493,interprete
57334,Aterballetto,29463,compagnia di balletto/danza
57335,Orchestra Filarmonica Italiana,29536,orchestra
57335,Ballets Trockadero de Montecarlo,30279,compagnia di balletto/danza
57342,Ensemble Nextime,29521,interprete
57343,Aterballetto,29463,compagnia di balletto/danza
57344,Icarus Ensemble,29542,orchestra
57344,Aterballetto,29463,compagnia di balletto/danza
57345,Edna,29544,compagnia di balletto/danza
57346,Balletto di Toscana,29546,interprete
57347,Compagnia Corrado Abbati,29548,interprete
57348,Compagnia Corrado Abbati,29548,interprete
57349,Compagnia Corrado Abbati,29548,interprete
57350,Compagnia Corrado Abbati,29548,interprete
57352,Teatro Municipale Romolo Valli,29664,produzione
57361,Orchestra dell'Emilia Romagna Arturo Toscanini,35588,orchestra
57361,Coro del Teatro Comunale di Modena,29457,coro
57372,Incorporea Group,29554,interprete
57373,Incorporea Group,29554,interprete
57374,Incorporea Group,29554,interprete
