id_recita,personaggio,personaggio_voce,interprete,interprete_id,ruolo
57176,Anne,soprano,"Brown, Antonia",31587,interprete
57176,Baba the Turk,mezzosoprano,"De Mola, Cinzia",9999,interprete
57176,Tom Rakewell,tenore,"Lavender, Justin",10000,interprete
57176,Nick Shadow,baritono,"Damiani, Davide",10001,interprete
57176,Mother Goose,mezzosoprano,"Zaramella, Sonia",10002,interprete
57176,Trulove,basso,"Battaglia, Paolo",10003,interprete
57176,Sellem,tenore,"Barbacini, Paolo",10004,interprete
57176,Keeper,basso,"Paliaga, Alessandro",10005,interprete
57177,Anne,soprano,"Brown, Antonia",31587,interprete
57177,Baba the Turk,mezzosoprano,"De Mola, Cinzia",9999,interprete
57177,Tom Rakewell,tenore,"Lavender, Justin",10000,interprete
57177,Nick Shadow,baritono,"Carl, Jeffrey",10099,interprete
57177,Mother Goose,mezzosoprano,"Zaramella, Sonia",10002,interprete
57177,Trulove,basso,"Battaglia, Paolo",10003,interprete
57177,Sellem,tenore,"Barbacini, Paolo",10004,interprete
57177,Keeper,basso,"Paliaga, Alessandro",10005,interprete
57178,Fiordiligi,soprano,"Burato, Fiorella",10014,interprete
57178,Dorabella,mezzosoprano,"Cullen, Teresa",10015,interprete
57178,Guglielmo,basso,"Rivenq, Nicholas",10017,interprete
57178,Ferrando,tenore,"Milhofer, Mark",10016,interprete
57178,Despina,soprano,"Perry, Janet",10018,interprete
57178,Don Alfonso,basso,"Echevarria, Alfonso",10019,interprete
57179,Fiordiligi,soprano,"Burato, Fiorella",10014,interprete
57179,Dorabella,mezzosoprano,"Cullen, Teresa",10015,interprete
57179,Guglielmo,basso,"Rivenq, Nicholas",10017,interprete
57179,Ferrando,tenore,"Milhofer, Mark",10016,interprete
57179,Despina,soprano,"Perry, Janet",10018,interprete
57179,Don Alfonso,basso,"Echevarria, Alfonso",10019,interprete
57180,Werther,tenore,"Sabbatini, Giuseppe",10026,interprete
57180,Charlotte,mezzosoprano,"Ganassi, Sonia",10027,interprete
57180,Albert,baritono,"De Candia, Roberto",10028,interprete
