id;fullpath;published;dcTitle;dcDescription;from;to;datetext;Luogo rappresentazione;Enti collegati;Persone collegate;Recite collegate;Opere musicali collegate;luogo_rappresentazione;luogo_rappresentazione_id;edificio_rappresentazione;edificio_rappresentazione_id;enti_collegati_clean;enti_collegati_id;enti_collegati_ruolo;persone_collegate_clean;persone_collegate_id;persone_collegate_ruolo;recite_collegate_clean;recite_collegate_id;opere_collegate_clean;opere_collegate_id;enti_collegati;persone_collegate;recite_collegate;opere_collegate
53735;/Produzioni/1991 Don Pasquale (53735);1.0;Don Pasquale;;1991-02-19;1991-02-19;1991;"[
    {
        'Id': 187,
        'nome': 'Reggio Emilia',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8715,
        'nome': 'Teatro Municipale Valli',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29716,
        'Nome': 'I Teatri di Reggio Emilia',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 9992,
        'Nome': 'Madau Diaz, Antonello',
        'Ruolo': ''
    },
    {
        'Identificativo': 9995,
        'Nome': 'Versace, Gianni',
        'Ruolo': ''
    },
    {
        'Identificativo': 9993,
        'Nome': 'Cristini, Giorgio',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57281,
        'Nome': 'Don Pasquale',
        'Ruolo': ''
    },
    {
        'Identificativo': 57282,
        'Nome': 'Don Pasquale',
        'Ruolo': ''
    },
    {
        'Identificativo': 57283,
        'Nome': 'Don Pasquale',
        'Ruolo': ''
    },
    {
        'Identificativo': 57284,
        'Nome': 'Don Pasquale',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 69327,
        'Nome': 'Don Pasquale',
        'Ruolo': ''
    }
]";Reggio Emilia;187;Teatro Municipale Valli;8715;;29716;produzione;;9992, 9995, 9993;, , ;;57281, 57282, 57283, 57284;;69327;I Teatri di Reggio Emilia;Antonello Madau Diaz, Gianni Versace, Giorgio Cristini;Don Pasquale, Don Pasquale, Don Pasquale, Don Pasquale;Don Pasquale
53736;/Produzioni/1997 Caterina di Heilbronn o La prova del fuoco (53736);1.0;Caterina di Heilbronn o La prova del fuoco;;1997-12-03;1997-12-03;1997;"[
    {
        'Id': 121,
        'nome': 'Brescia',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8693,
        'nome': 'Teatro Grande',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29688,
        'Nome': 'ERT Emilia Romagna Teatro',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 29784,
        'Nome': 'CBT Centro Teatrale Bresciano',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 10013,
        'Nome': 'Lievi, Cesare',
        'Ruolo': ''
    },
    {
        'Identificativo': 31739,
        'Nome': 'Lievi, Daniele',
        'Ruolo': ''
    },
    {
        'Identificativo': 10008,
        'Nome': 'Perego, Luigi',
        'Ruolo': ''
    },
    {
        'Identificativo': 10010,
        'Nome': 'Schiavone, Daniela',
        'Ruolo': ''
    },
    {
        'Identificativo': 10159,
        'Nome': 'Saccomandi, Gigi',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57201,
        'Nome': 'Caterina di Heilbronn o La prova del fuoco',
        'Ruolo': ''
    },
    {
        'Identificativo': 57200,
        'Nome': 'Caterina di Heilbronn o La prova del fuoco',
        'Ruolo': ''
    },
    {
        'Identificativo': 57199,
        'Nome': 'Caterina di Heilbronn o La prova del fuoco',
        'Ruolo': ''
    },
    {
        'Identificativo': 57198,
        'Nome': 'Caterina di Heilbronn o La prova del fuoco',
        'Ruolo': ''
    }
]";[];Brescia;121;Teatro Grande;8693;;29688, 29784;produzione, produzione;;10013, 31739, 10008, 10010, 10159;, , , , ;;57201, 57200, 57199, 57198;;;ERT Emilia Romagna Teatro, CBT Centro Teatrale Bresciano;Cesare Lievi, Daniele Lievi, Luigi Perego, Daniela Schiavone, Gigi Saccomandi;Caterina di Heilbronn o La prova del fuoco, Caterina di Heilbronn o La prova del fuoco, Caterina di Heilbronn o La prova del fuoco, Caterina di Heilbronn o La prova del fuoco;
53737;/Produzioni/1998 La Gatta Cenerentola (53737);1.0;La Gatta Cenerentola;Media Aetas Teatro (EN-);1998-01-01;1998-12-31;1998;"[
    {
        'Id': 187,
        'nome': 'Reggio Emilia',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8715,
        'nome': 'Teatro Municipale Valli',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29783,
        'Nome': 'Media Aetas Teatro',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 10056,
        'Nome': 'De Simone, Roberto',
        'Ruolo': ''
    },
    {
        'Identificativo': 10074,
        'Nome': 'Nicoletti, Odette',
        'Ruolo': ''
    },
    {
        'Identificativo': 10073,
        'Nome': 'Carosi, Mauro',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57186,
        'Nome': 'La gatta Cenerentola',
        'Ruolo': ''
    },
    {
        'Identificativo': 57185,
        'Nome': 'La gatta Cenerentola',
        'Ruolo': ''
    },
    {
        'Identificativo': 57184,
        'Nome': 'La gatta Cenerentola',
        'Ruolo': ''
    },
    {
        'Identificativo': 57183,
        'Nome': 'La gatta Cenerentola',
        'Ruolo': ''
    }
]";[];Reggio Emilia;187;Teatro Municipale Valli;8715;;29783;produzione;;10056, 10074, 10073;, , ;;57186, 57185, 57184, 57183;;;Media Aetas Teatro;Roberto De Simone, Odette Nicoletti, Mauro Carosi;La gatta Cenerentola, La gatta Cenerentola, La gatta Cenerentola, La gatta Cenerentola;
53738;/Produzioni/1998 La guerra (53738);1.0;La guerra;;1998-01-11;1998-01-11;1998;"[
    {
        'Id': 8000,
        'nome': 'Treviso',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 9059,
        'nome': 'Teatro Comunale',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29772,
        'Nome': 'TSV Teatro Stabile del Veneto',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 11321,
        'Nome': 'Mazzocchetti, Germano',
        'Ruolo': ''
    },
    {
        'Identificativo': 10160,
        'Nome': 'Squarzina, Luigi',
        'Ruolo': ''
    },
    {
        'Identificativo': 10162,
        'Nome': 'Lawrence, Claudia',
        'Ruolo': ''
    },
    {
        'Identificativo': 10163,
        'Nome': 'Saleri, Jurai',
        'Ruolo': ''
    },
    {
        'Identificativo': 10161,
        'Nome': 'Gregori, Graziano',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57210,
        'Nome': 'La guerra',
        'Ruolo': ''
    },
    {
        'Identificativo': 57209,
        'Nome': 'La guerra',
        'Ruolo': ''
    },
    {
        'Identificativo': 57208,
        'Nome': 'La guerra',
        'Ruolo': ''
    },
    {
        'Identificativo': 57207,
        'Nome': 'La guerra',
        'Ruolo': ''
    }
]";[];Treviso;8000;Teatro Comunale;9059;;29772;produzione;;11321, 10160, 10162, 10163, 10161;, , , , ;;57210, 57209, 57208, 57207;;;TSV Teatro Stabile del Veneto;Germano Mazzocchetti, Luigi Squarzina, Claudia Lawrence, Jurai Saleri, Graziano Gregori;La guerra, La guerra, La guerra, La guerra;
53739;/Produzioni/1992 Plaza Suite (53739);1.0;Plaza Suite;Plexus T (EN-);1992-01-01;1992-01-31;1992;"[
    {
        'Id': 187,
        'nome': 'Reggio Emilia',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 9415,
        'nome': 'Teatro Ariosto',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29691,
        'Nome': 'Plexus T',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 10191,
        'Nome': 'Ferro, Guglielmo',
        'Ruolo': ''
    },
    {
        'Identificativo': 31582,
        'Nome': 'Di Piero, Annalisa',
        'Ruolo': ''
    },
    {
        'Identificativo': 31550,
        'Nome': 'Chiti, Alessandro',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57202,
        'Nome': 'Plaza Suite',
        'Ruolo': ''
    },
    {
        'Identificativo': 57203,
        'Nome': 'Plaza Suite',
        'Ruolo': ''
    },
    {
        'Identificativo': 57204,
        'Nome': 'Plaza Suite',
        'Ruolo': ''
    },
    {
        'Identificativo': 57205,
        'Nome': 'Plaza Suite',
        'Ruolo': ''
    },
    {
        'Identificativo': 57206,
        'Nome': 'Plaza Suite',
        'Ruolo': ''
    }
]";[];Reggio Emilia;187;Teatro Ariosto;9415;;29691;produzione;;10191, 31582, 31550;, , ;;57202, 57203, 57204, 57205, 57206;;;Plexus T;Guglielmo Ferro, Annalisa Di Piero, Alessandro Chiti;Plaza Suite, Plaza Suite, Plaza Suite, Plaza Suite, Plaza Suite;
53740;/Produzioni/1998 Donna del mare (53740);1.0;Donna del mare;;1998-05-05;1998-05-05;1998;"[
    {
        'Id': 138,
        'nome': 'Ferrara',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8654,
        'nome': 'Teatro Comunale',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29688,
        'Nome': 'ERT Emilia Romagna Teatro',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 10202,
        'Nome': 'Wilson, Robert',
        'Ruolo': ''
    },
    {
        'Identificativo': 10203,
        'Nome': 'Armani, Giorgio',
        'Ruolo': ''
    },
    {
        'Identificativo': 26672,
        'Nome': 'Weissbard, A.J.',
        'Ruolo': ''
    },
    {
        'Identificativo': 10204,
        'Nome': 'Galasso, Michael',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57362,
        'Nome': 'La donna del mare',
        'Ruolo': ''
    },
    {
        'Identificativo': 57363,
        'Nome': 'La donna del mare',
        'Ruolo': ''
    },
    {
        'Identificativo': 57211,
        'Nome': 'La donna del mare',
        'Ruolo': ''
    }
]";[];Ferrara;138;Teatro Comunale;8654;;29688;produzione;;10202, 10203, 26672, 10204;, , , ;;57362, 57363, 57211;;;ERT Emilia Romagna Teatro;Robert Wilson, Giorgio Armani, A.J. Weissbard, Michael Galasso;La donna del mare, La donna del mare, La donna del mare;
53741;/Produzioni/1985 La grande magia (53741);1.0;La grande magia;"Piccolo Teatro di Milano/Teatro d&#39;Europa , (EN-)";1985-05-03;1985-05-03;1985;"[
    {
        'Id': 162,
        'nome': 'Milano',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8598,
        'nome': 'Piccolo Teatro',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29788,
        'Nome': 'Piccolo Teatro di Milano/Teatro d'Europa',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 11270,
        'Nome': 'Carpi, Fiorenzo',
        'Ruolo': ''
    },
    {
        'Identificativo': 10020,
        'Nome': 'Strehler, Giorgio',
        'Ruolo': ''
    },
    {
        'Identificativo': 11269,
        'Nome': 'Spinatelli, Luisa',
        'Ruolo': ''
    },
    {
        'Identificativo': 10022,
        'Nome': 'Frigerio, Ezio',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57364,
        'Nome': 'La grande magia',
        'Ruolo': ''
    },
    {
        'Identificativo': 57365,
        'Nome': 'La grande magia',
        'Ruolo': ''
    },
    {
        'Identificativo': 57366,
        'Nome': 'La grande magia',
        'Ruolo': ''
    },
    {
        'Identificativo': 57367,
        'Nome': 'La grande magia',
        'Ruolo': ''
    },
    {
        'Identificativo': 57368,
        'Nome': 'La grande magia',
        'Ruolo': ''
    }
]";[];Milano;162;Piccolo Teatro;8598;;29788;produzione;;11270, 10020, 11269, 10022;, , , ;;57364, 57365, 57366, 57367, 57368;;;Piccolo Teatro di Milano/Teatro d'Europa;Fiorenzo Carpi, Giorgio Strehler, Luisa Spinatelli, Ezio Frigerio;La grande magia, La grande magia, La grande magia, La grande magia, La grande magia;
53742;/Produzioni/1998 The Rake's Progress (53742);1.0;The Rake's Progress;Teatro Comunale , Modena (EN-), I Teatri , Reggio Emilia (EN-), Teatro Comunale , Ferrara (EN-), Teatro Municipale , Piacenza (EN-), Teatro Alighieri , Ravenna (EN-);1998-12-04;1998-12-04;1998;"[
    {
        'Id': 163,
        'nome': 'Modena',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8654,
        'nome': 'Teatro Comunale',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29700,
        'Nome': 'Teatro Comunale di Modena',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 29713,
        'Nome': 'Teatro Comunale di Ferrara',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 29714,
        'Nome': 'Teatro Municipale di Piacenza',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 29716,
        'Nome': 'I Teatri di Reggio Emilia',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 29785,
        'Nome': 'Teatro Dante Alighieri',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 10013,
        'Nome': 'Lievi, Cesare',
        'Ruolo': ''
    },
    {
        'Identificativo': 10010,
        'Nome': 'Schiavone, Daniela',
        'Ruolo': ''
    },
    {
        'Identificativo': 10008,
        'Nome': 'Perego, Luigi',
        'Ruolo': ''
    },
    {
        'Identificativo': 10007,
        'Nome': 'Antal, Csába',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57176,
        'Nome': 'The Rake's Progress',
        'Ruolo': ''
    },
    {
        'Identificativo': 57177,
        'Nome': 'The Rake's Progress',
        'Ruolo': ''
    }
]";[];Modena;163;Teatro Comunale;8654;;29700, 29713, 29714, 29716, 29785;produzione, produzione, produzione, produzione, produzione;;10013, 10010, 10008, 10007;, , , ;;57176, 57177;;;Teatro Comunale di Modena, Teatro Comunale di Ferrara, Teatro Municipale di Piacenza, I Teatri di Reggio Emilia, Teatro Dante Alighieri;Cesare Lievi, Daniela Schiavone, Luigi Perego, Csába Antal;The Rake's Progress, The Rake's Progress;
53743;/Produzioni/1999 Werther (53743);1.0;Werther;;1999-03-24;1999-03-24;1999;"[
    {
        'Id': 187,
        'nome': 'Reggio Emilia',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8715,
        'nome': 'Teatro Municipale Valli',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29672,
        'Nome': 'Teatro Regio di Parma',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 29700,
        'Nome': 'Teatro Comunale di Modena',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 29716,
        'Nome': 'I Teatri di Reggio Emilia',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 31538,
        'Nome': 'Fassini, Alberto',
        'Ruolo': ''
    },
    {
        'Identificativo': 10215,
        'Nome': 'De Vico, Mario',
        'Ruolo': ''
    },
    {
        'Identificativo': 10035,
        'Nome': 'Grossi, Pasquale',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57182,
        'Nome': 'Werther',
        'Ruolo': ''
    },
    {
        'Identificativo': 57181,
        'Nome': 'Werther',
        'Ruolo': ''
    },
    {
        'Identificativo': 57180,
        'Nome': 'Werther',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 69348,
        'Nome': 'Werther',
        'Ruolo': ''
    }
]";Reggio Emilia;187;Teatro Municipale Valli;8715;;29672, 29700, 29716;produzione, produzione, produzione;;31538, 10215, 10035;, , ;;57182, 57181, 57180;;69348;Teatro Regio di Parma, Teatro Comunale di Modena, I Teatri di Reggio Emilia;Alberto Fassini, Mario De Vico, Pasquale Grossi;Werther, Werther, Werther;Werther
53744;/Produzioni/1999 Andrea Chénier (53744);1.0;Andrea Chénier;;1999-03-21;1999-03-21;1999;"[
    {
        'Id': 173,
        'nome': 'Parma',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8733,
        'nome': 'Teatro Regio',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29672,
        'Nome': 'Teatro Regio di Parma',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 29714,
        'Nome': 'Teatro Municipale di Piacenza',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 29716,
        'Nome': 'I Teatri di Reggio Emilia',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 10052,
        'Nome': 'Mazzucchelli, Fausta',
        'Ruolo': ''
    },
    {
        'Identificativo': 13178,
        'Nome': 'Borelli, Andrea',
        'Ruolo': ''
    },
    {
        'Identificativo': 10050,
        'Nome': 'Stefanutti, Ivan',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57961,
        'Nome': 'Andrea Chénier',
        'Ruolo': ''
    },
    {
        'Identificativo': 57962,
        'Nome': 'Andrea Chénier',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 69336,
        'Nome': 'Andrea Chénier',
        'Ruolo': ''
    }
]";Parma;173;Teatro Regio;8733;;29672, 29714, 29716;produzione, produzione, produzione;;10052, 13178, 10050;, , ;;57961, 57962;;69336;Teatro Regio di Parma, Teatro Municipale di Piacenza, I Teatri di Reggio Emilia;Fausta Mazzucchelli, Andrea Borelli, Ivan Stefanutti;Andrea Chénier, Andrea Chénier;Andrea Chénier
