id,dcType,dcTitle,dcDescription,to,from,datetext,fullpath,luoghi_collegati,enti_collegati,persone_collegate,produzioni_collegate,manifestazioni_recite_concerti_collegati,operemusicali_collegate,produzioni_collegate_id,manifestazioni_recite_concerti_collegati_id,operemusicali_collegate_id,persone_collegate_id,enti_collegati_id,luoghi_collegati_id
49197,Lirica,Lirica 1991,,1991-05-31,1991-01-01,1991,/Stagioni/1991 Lirica 1991 (49197),,,,"/Produzioni/1990 La Cenerentola (53799),/Produzioni/1991 Evgenij Onegin' (53809),/Produzioni/1991 Don Pasquale (53735)","/Recite/11-01-1991 La Cenerentola (57264),/Recite/12-01-1991 La Cenerentola (57265),/Recite/13-01-1991 La Cenerentola (57266),/Concerti/25-01-1991 Renata Scotto in concerto (51711),/Concerti/29-01-1991 Renata Scotto in concerto (51959),/Recite/15-02-1991 Don Pasquale (57281),/Recite/17-02-1991 Don Pasquale (57282),/Recite/19-02-1991 Don Pasquale (57283),/Recite/21-02-1991 Don Pasquale (57284),/Recite/09-04-1991 Evgenij Onegin' (57292),/Recite/11-04-1991 Evgenij Onegin' (57293),/Concerti/29-04-1991 Luciano Pavarotti. 
Festeggiamenti per il 30° del debutto (51714)",,"53799, 53809, 53735","57264, 57265, 57266, 51711, 51959, 57281, 57282, 57283, 57284, 57292, 57293, 51714",,,,
49199,Lirica,Stagione lirica 1998-99,,1999-06-30,1998-09-01,1998 - 1999,/Stagioni/1998 - 1999 Stagione lirica 1998-99 (49199),,,,"/Produzioni/1998 Così fan tutte (53755),/Produzioni/1998 The Rake's Progress (53742),/Produzioni/1998 Don Giovanni (53745),/Produzioni/1999 Andrea Chénier (53744),/Produzioni/1999 Werther (53743),/Produzioni/1999 Attila (53746)","/Recite/06-12-1998 In treno all'opera: Don Giovanni (57963),/Recite/07-01-1999 The Rake's Progress (57176),/Recite/10-01-1999 The Rake's Progress (57177),/Recite/22-02-1999 Così fan tutte (57178),/Recite/23-02-1999 Così fan tutte (57179),/Recite/24-03-1999 Werther (57180),/Recite/26-03-1999 Werther (57181),/Recite/28-03-1999 Werther (57182),/Recite/16-04-1999 Andrea Chénier (57961),/Recite/18-04-1999 Andrea Chénier (57962),/Recite/24-04-1999 In treno all'opera: Attila (58633)",,"53755, 53742, 53745, 53744, 53743, 53746","57963, 57176, 57177, 57178, 57179, 57180, 57181, 57182, 57961, 57962, 58633",,,,
49203,Lirica,L'Opera 2000,,2000-04-30,2000-01-01,2000,/Stagioni/2000 L'Opera 2000 (49203),,,,"/Produzioni/2000 Falstaff (53959),/Produzioni/2000 Pelléas et Mélisande (53768),/Produzioni/2000 Otello (53767),/Produzioni/2000 Idomeneo, re di Creta (53769)","/Recite/23-01-2000 Falstaff (57212),/Recite/25-01-2000 Falstaff (57213),/Recite/20-02-2000 In treno all'opera: Pelléas et Mélisande (57235),/Concerti/25-02-2000 Luciana D'Intino. Recital
Identità mediterranee. Itinerario vocale tra musica e poesia italiana ed iberica (51788),/Recite/07-03-2000 Otello (57252),/Recite/09-03-2000 Otello (57361),/Concerti/15-03-2000 Anna Caterina Antonacci. Recital (51789),/Recite/31-03-2000 Idomeneo, re di Creta (57330),/Recite/02-04-2000 Idomeneo, re di Creta (57331)",,"53959, 53768, 53767, 53769","57212, 57213, 57235, 51788, 57252, 57361, 51789, 57330, 57331",,,,
49207,Lirica,Stagione di operetta 1999-2000,,2000-02-22,1999-11-26,1999 - 2000,/Stagioni/1999 - 2000 Stagione di operetta 1999-2000 (49207),,,,"/Produzioni/1999 Il pipistrello (53795),/Produzioni/1999 My Fair Lady (53796),/Produzioni/1999 Due ore sole ti vorrei (53798),/Produzioni/1999 Sogno viennese (53797)","/Recite/26-11-1999 Il pipistrello (57347),/Recite/27-11-1999 Il pipistrello (57348),/Recite/28-11-1999 Il pipistrello (57349),/Recite/30-11-1999 Il pipistrello (57350),/Recite/17-12-1999 My Fair Lady (57351),/Recite/18-12-1999 My Fair Lady (57352),/Recite/19-12-1999 My Fair Lady (57353),/Recite/19-12-1999 My Fair Lady (57354),/Recite/29-01-2000 2 ore sole ti vorrei (57355),/Recite/30-01-2000 2 ore sole ti vorrei (57356),/Recite/18-02-2000 Sogno viennese (57357),/Recite/19-02-2000 Sogno viennese (57358),/Recite/20-02-2000 Sogno viennese (57359),/Recite/22-02-2000 Sogno viennese (57360)",,"53795, 53796, 53798, 53797","57347, 57348, 57349, 57350, 57351, 57352, 57353, 57354, 57355, 57356, 57357, 57358, 57359, 57360",,,,
49211,Lirica,Lirica 1989-90,,1990-07-01,1989-09-01,1989 - 1990,/Stagioni/1989 - 1990 Lirica 1989-90 (49211),,,,"/Produzioni/1990 La fanciulla del West (53779),/Produzioni/1988 Maria Stuarda (53778),/Produzioni/1990 I Capuleti e I Montecchi (53777),/Produzioni/1990 La Traviata (53776),/Produzioni/1990 Il gallo d'oro (53780)","/Recite/02-01-1990 La traviata (57227),/Recite/05-01-1990 La traviata (57228),/Recite/07-01-1990 La traviata (57229),/Recite/25-01-1990 I Capuleti e i Montecchi (57230),/Recite/28-01-1990 I Capuleti e i Montecchi (57259),/Recite/08-02-1990 Maria Stuarda (57231),/Recite/12-02-1990 Maria Stuarda (57260),/Recite/14-02-1990 Maria Stuarda (57261),/Recite/23-02-1990 La fanciulla del West (57256),/Recite/25-02-1990 La fanciulla del West (57257),/Recite/28-02-1990 La fanciulla del West (57258),/Recite/03-04-1990 Il gallo d'oro (57262),/Recite/04-04-1990 Il gallo d'oro (57263)",,"53779, 53778, 53777, 53776, 53780","57227, 57228, 57229, 57230, 57259, 57231, 57260, 57261, 57256, 57257, 57258, 57262, 57263",,,,
49216,Lirica,Stagione lirica 1991-92,,1992-07-01,1991-09-01,1991 - 1992,/Stagioni/1991 - 1992 Stagione lirica 1991-92 (49216),,,,"/Produzioni/1985 Rinaldo (53781),/Produzioni/1991 Werther (53782),/Produzioni/1992 La serva padrona (53783),/Produzioni/1992 Il maestro di cappella (54066),/Produzioni/1992 Didone abbandonata (53784),/Produzioni/1992 Macbeth (53817),/Produzioni/1992 Otello (53822)","/Recite/22-11-1991 Rinaldo (57232),/Manifestazioni/22-11-1991 - 22-12-1991 Pier Luigi Pizzi.
10 anni di presenze a Reggio Emilia (1981-1991) (65476),/Recite/24-11-1991 Rinaldo (57305),/Recite/26-11-1991 Rinaldo (57307),/Recite/28-11-1991 Rinaldo (57308),/Recite/07-12-1991 In treno all'opera: Werther (57299),/Recite/11-01-1992 La serva padrona - Il maestro di cappella: La serva padrona (57311),/Recite/11-01-1992 La serva padrona - Il maestro di cappella: Il maestro di cappella (63256),/Recite/12-01-1992 La serva padrona - Il maestro di cappella: La serva padrona (58096),/Recite/12-01-1992 La serva padrona - Il maestro di cappella: Il maestro di cappella (63257),/Recite/31-01-1992 Didone abbandonata (57312),/Recite/02-02-1992 Didone abbandonata (57313),/Recite/03-03-1992 Macbeth (57314),/Recite/05-03-1992 Macbeth (57771),/Recite/08-03-1992 Macbeth (57772),/Concerti/16-04-1992 Anna Caterina Antonacci. Recital (51715),/Concerti/18-04-1992 Anna Caterina Antonacci. Recital (51716),/Recite/08-09-1992 Otello (57321),/Recite/11-09-1992 Otello (57323),/Recite/13-09-1992 Otello (57324)",,"53781, 53782, 53783, 54066, 53784, 53817, 53822","57232, 65476, 57305, 57307, 57308, 57299, 57311, 63256, 58096, 63257, 57312, 57313, 57314, 57771, 57772, 51715, 51716, 57321, 57323, 57324",,,,
49217,Lirica,Stagione lirica 1994-95,,1995-06-30,1994-09-01,1994 - 1995,/Stagioni/1994 - 1995 Stagione lirica 1994-95 (49217),,,,"/Produzioni/1994 Il turco in Italia (53785),/Produzioni/1995 Candide (53788),/Produzioni/1995 Il barbiere di Siviglia (53786),/Produzioni/1995 Macbeth (53787),/Produzioni/1995 Carmen (53789),/Produzioni/1995 El retablo de Maese Pedro (53790),/Produzioni/1995 Il cordovano (53791)","/Recite/21-12-1994 Il turco in Italia (57233),/Recite/17-01-1995 Il barbiere di Siviglia (57236),/Recite/19-01-1995 Il barbiere di Siviglia (57237),/Recite/14-02-1995 In treno all'opera: Macbeth (57238),/Recite/15-03-1995 Candide [Anteprima] (63815),/Recite/16-03-1995 Candide [Anteprima] (63816),/Recite/18-03-1995 Candide (57239),/Recite/20-03-1995 Candide (57240),/Recite/23-03-1995 Candide (57241),/Recite/29-03-1995 Carmen (57242),/Recite/31-03-1995 Carmen (63332),/Recite/28-04-1995 El retablo de Maese Pedro - Il cordovano: El retablo de Maese Pedro (57243),/Recite/28-04-1995 El retablo de Maese Pedro - Il cordovano: Il cordovano (63260),/Recite/30-04-1995 El retablo de Maese Pedro - Il cordovano: El retablo de Maese Pedro (58001),/Recite/30-04-1995 El retablo de Maese Pedro - Il cordovano: Il cordovano (63261)",,"53785, 53788, 53786, 53787, 53789, 53790, 53791","57233, 57236, 57237, 57238, 63815, 63816, 57239, 57240, 57241, 57242, 63332, 57243, 63260, 58001, 63261",,,,
49219,Lirica,Stagione lirica 1995-96,,1996-06-30,1995-09-01,1995 - 1996,/Stagioni/1995 - 1996 Stagione lirica 1995-96 (49219),,,,"/Produzioni/1995 La bohème (53800),/Produzioni/1996 La Cenerentola (53794),/Produzioni/1996 Simon Boccanegra (53802),/Produzioni/1996 Madama Butterfly (53801),/Produzioni/1996 Lo straordinario regno di Oz (56899)","/Recite/02-01-1996 La cenerentola (57253),/Recite/04-01-1996 La cenerentola (57254),/Recite/06-01-1996 La cenerentola (57255),/Recite/14-01-1996 La bohème (57267),/Recite/18-01-1996 La bohème (57268),/Recite/27-03-1996 In treno all'opera: Madama Butterfly (57269),/Recite/28-04-1996 Simon Boccanegra (57270),/Recite/30-04-1996 Simon Boccanegra (57271),/Recite/15-05-1996 Lo straordinario regno di Oz (62714),/Recite/16-05-1996 Lo straordinario regno di Oz (63255)",,"53800, 53794, 53802, 53801, 56899","57253, 57254, 57255, 57267, 57268, 57269, 57270, 57271, 62714, 63255",,,,
49222,Lirica,Stagione lirica 1996-97,,1997-06-30,1996-09-01,1996 - 1997,/Stagioni/1996 - 1997 Stagione lirica 1996-97 (49222),,,,"/Produzioni/1988 I Puritani (54465),/Produzioni/1990 Le nozze di Figaro (53804),/Produzioni/1996 Norma (53803),/Produzioni/1997 Les Martyrs (53805)","/Recite/24-11-1996 Norma (57272),/Recite/26-11-1996 Norma (57273),/Recite/28-11-1996 Norma (57274),/Recite/19-02-1997 Le nozze di Figaro (57275),/Recite/20-02-1997 Le nozze di Figaro (57276),/Manifestazioni/05-03-1997 Ugo Bedeschi presenta ""Les Martyrs"" di G. Donizetti (66010),/Manifestazioni/07-03-1997 Franca Cella e Fabrizio Frasnedi presentano ""Les Martyrs"" di G. Donizetti (66058),/Manifestazioni/10-03-1997 Giandomenico Vaccari presenta ""Les Martyrs"" di G. Donizetti (66057),/Recite/15-03-1997 Les Martyrs (57277),/Recite/17-03-1997 Les Martyrs (57278),/Recite/19-03-1997 Les Martyrs (57279),/Recite/25-03-1997 In treno all'opera: I Puritani (58542)",,"54465, 53804, 53803, 53805","57272, 57273, 57274, 57275, 57276, 66010, 66058, 66057, 57277, 57278, 57279, 58542",,,,
49223,Lirica,Stagione lirica 1997-98,,1998-06-30,1997-09-01,1997 - 1998,/Stagioni/1997 - 1998 Stagione lirica 1997-98 (49223),,,,"/Produzioni/1993 Rigoletto (53807),/Produzioni/1997 Saffo (53806),/Produzioni/1998 I Capuleti e i Montecchi (53808)","/Recite/24-11-1997 Saffo (57280),/Recite/26-11-1997 Saffo (57287),/Recite/28-11-1997 Saffo (57288),/Concerti/21-01-1998 Raina Kabaivanska. Recital lirico (51712),/Recite/08-02-1998 Rigoletto (57285),/Recite/10-02-1998 Rigoletto (57286),/Recite/20-03-1998 I Capuleti e i Montecchi (57289),/Recite/22-03-1998 I Capuleti e i Montecchi (57290),/Recite/24-03-1998 I Capuleti e i Montecchi (57291),/Concerti/22-04-1998 Giuseppe Sabbatini. Recital lirico (51713)",,"53807, 53806, 53808","57280, 57287, 57288, 51712, 57285, 57286, 57289, 57290, 57291, 51713",,,,
