performance_id,credit_type,person_id,person_name,role,composition_title,start_date,end_date,year,date_text,first_location,first_building,related_compositions,related_compositions_id,source_id
32447,artistic,2657,Maria Callas,Regista,"Vespri siciliani, I",1973-04-10,1973-04-21,1973.0,10-04-1973 - 21-04-1973,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Vespri siciliani, I (42341)",42341,object_id_3193
32447,artistic,2688,Giuseppe Di Stefano,Regista,"Vespri siciliani, I",1973-04-10,1973-04-21,1973.0,10-04-1973 - 21-04-1973,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Vespri siciliani, I (42341)",42341,object_id_3193
32447,artistic,10066,Serge Lifar,Coreografo,"Vespri siciliani, I",1973-04-10,1973-04-21,1973.0,10-04-1973 - 21-04-1973,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Vespri siciliani, I (42341)",42341,object_id_3193
32447,artistic,10068,Aligi Sassu,"Costumista,Scenografo","Vespri siciliani, I",1973-04-10,1973-04-21,1973.0,10-04-1973 - 21-04-1973,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Vespri siciliani, I (42341)",42341,object_id_3193
32447,technical,7166,"Tirelli, Roma",Sartoria,"Vespri siciliani, I",1973-04-10,1973-04-21,1973.0,10-04-1973 - 21-04-1973,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Vespri siciliani, I (42341)",42341,object_id_3193
32448,artistic,8781,Sandro Sequi,Regista,Werther,1973-04-26,1973-05-04,1973.0,26-04-1973 - 04-05-1973,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Werther (40169),40169,object_id_3199
32448,artistic,10141,Jurgen Henze,Scenografo,Werther,1973-04-26,1973-05-04,1973.0,26-04-1973 - 04-05-1973,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Werther (40169),40169,object_id_3199
32448,artistic,9260,Peter Hall,Costumista,Werther,1973-04-26,1973-05-04,1973.0,26-04-1973 - 04-05-1973,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Werther (40169),40169,object_id_3199
32448,technical,9941,"Sormani, Milano",Realizzazione,Werther,1973-04-26,1973-05-04,1973.0,26-04-1973 - 04-05-1973,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Werther (40169),40169,object_id_3199
32448,technical,7166,"Tirelli, Roma",Sartoria,Werther,1973-04-26,1973-05-04,1973.0,26-04-1973 - 04-05-1973,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Werther (40169),40169,object_id_3199
32448,technical,7159,"Mario Audello, Torino",Parrucche,Werther,1973-04-26,1973-05-04,1973.0,26-04-1973 - 04-05-1973,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Werther (40169),40169,object_id_3199
32448,technical,7167,"Pompei 2000, Roma",Calzature,Werther,1973-04-26,1973-05-04,1973.0,26-04-1973 - 04-05-1973,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Werther (40169),40169,object_id_3199
32448,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria,Werther,1973-04-26,1973-05-04,1973.0,26-04-1973 - 04-05-1973,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Werther (40169),40169,object_id_3199
32449,artistic,8643,Virginio Puecher,"Regista,Scenografo",Manon Lescaut,1973-05-13,1973-05-20,1973.0,13-05-1973 - 20-05-1973,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Manon Lescaut (40252),40252,object_id_3204
32449,artistic,5301,Vittorio Rossi,Costumista,Manon Lescaut,1973-05-13,1973-05-20,1973.0,13-05-1973 - 20-05-1973,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Manon Lescaut (40252),40252,object_id_3204
32449,technical,9941,"Sormani, Milano",Realizzazione,Manon Lescaut,1973-05-13,1973-05-20,1973.0,13-05-1973 - 20-05-1973,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Manon Lescaut (40252),40252,object_id_3204
32449,technical,10147,"Sartoria Peruzzi, Roma",Sartoria,Manon Lescaut,1973-05-13,1973-05-20,1973.0,13-05-1973 - 20-05-1973,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Manon Lescaut (40252),40252,object_id_3204
32450,artistic,9633,Margherita Wallmann,Regista,"Ballo in maschera, Un",1973-11-27,1974-01-27,1973.0,27-11-1973 - 27-01-1974,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Ballo in maschera, Un (40634)",40634,object_id_3210
32450,artistic,8580,Nicola Benois,"Costumista,Scenografo","Ballo in maschera, Un",1973-11-27,1974-01-27,1973.0,27-11-1973 - 27-01-1974,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Ballo in maschera, Un (40634)",40634,object_id_3210
32450,artistic,8601,Susanna Egri,Coreografo,"Ballo in maschera, Un",1973-11-27,1974-01-27,1973.0,27-11-1973 - 27-01-1974,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Ballo in maschera, Un (40634)",40634,object_id_3210
32451,artistic,10386,Carlo Rapp,"Costumista,Regista,Scenografo",Rigoletto,1973-12-14,1974-01-13,1973.0,14-12-1973 - 13-01-1974,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Rigoletto (42015),42015,object_id_3219
32451,artistic,8996,Sara Acquarone,Coreografo,Rigoletto,1973-12-14,1974-01-13,1973.0,14-12-1973 - 13-01-1974,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Rigoletto (42015),42015,object_id_3219
32451,technical,6441,"Teatro Regio, Torino",Sartoria,Rigoletto,1973-12-14,1974-01-13,1973.0,14-12-1973 - 13-01-1974,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Rigoletto (42015),42015,object_id_3219
32452,artistic,9653,Rexford Harrower,Regista,"Contes d'Hoffmann, Les",1973-12-22,1974-01-03,1973.0,22-12-1973 - 03-01-1974,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Contes d'Hoffmann, Les (40217)",40217,object_id_3228
32452,artistic,7110,Giuseppe Carbone,Coreografo,"Contes d'Hoffmann, Les",1973-12-22,1974-01-03,1973.0,22-12-1973 - 03-01-1974,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Contes d'Hoffmann, Les (40217)",40217,object_id_3228
32452,artistic,9245,Andrzej Majewski,Scenografo,"Contes d'Hoffmann, Les",1973-12-22,1974-01-03,1973.0,22-12-1973 - 03-01-1974,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Contes d'Hoffmann, Les (40217)",40217,object_id_3228
32452,artistic,9007,Jan Skalicky,Costumista,"Contes d'Hoffmann, Les",1973-12-22,1974-01-03,1973.0,22-12-1973 - 03-01-1974,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Contes d'Hoffmann, Les (40217)",40217,object_id_3228
32453,artistic,9669,Franco Guandalini,Regista,Francesca da Rimini,1974-01-15,1974-01-29,1974.0,15-01-1974 - 29-01-1974,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Francesca da Rimini (42062),42062,object_id_3233
