performance_id,credit_type,person_id,person_name,role
32447,artistic,2657,Maria Callas,Regista
32447,artistic,2688,Giuseppe Di Stefano,Regista
32447,artistic,10066,Serge Lifar,Coreografo
32447,artistic,10068,Aligi Sassu,"Costumista,Scenografo"
32447,technical,7166,"Tirelli, Roma",Sartoria
32448,artistic,8781,Sandro Sequi,Regista
32448,artistic,10141,Jurgen Henze,Scenografo
32448,artistic,9260,Peter Hall,Costumista
32448,technical,9941,"Sormani, Milano",Realizzazione
32448,technical,7166,"Tirelli, Roma",Sartoria
32448,technical,7159,"Mario Audello, Torino",Parrucche
32448,technical,7167,"Pompei 2000, Roma",Calzature
32448,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria
32449,artistic,8643,Virginio Puecher,"Regista,Scenografo"
32449,artistic,5301,Vittorio Rossi,Costumista
32449,technical,9941,"Sormani, Milano",Realizzazione
32449,technical,10147,"Sartoria Peruzzi, Roma",Sartoria
32450,artistic,9633,Margherita Wallmann,Regista
32450,artistic,8580,Nicola Benois,"Costumista,Scenografo"
32450,artistic,8601,Susanna Egri,Coreografo
32451,artistic,10386,Carlo Rapp,"Costumista,Regista,Scenografo"
32451,artistic,8996,Sara Acquarone,Coreografo
32451,technical,6441,"Teatro Regio, Torino",Sartoria
32452,artistic,9653,Rexford Harrower,Regista
32452,artistic,7110,Giuseppe Carbone,Coreografo
32452,artistic,9245,Andrzej Majewski,Scenografo
32452,artistic,9007,Jan Skalicky,Costumista
32453,artistic,9669,Franco Guandalini,Regista
32453,artistic,5988,Lorenzo Ghiglia,"Costumista,Scenografo"
32453,technical,8999,"Casa d’Arte Fiore, Milano",Sartoria
32453,technical,7166,"Tirelli, Roma",Sartoria
32453,technical,8494,"C.T.C. Centro Telecinematografico Culturale, Milano",Calzature
32454,artistic,3692,Alberto Fassini,Regista
32454,artistic,9673,Luciana Novaro,Coreografo
32454,artistic,3918,Pier Luigi Pizzi,"Costumista,Scenografo"
32454,technical,7166,"Tirelli, Roma",Sartoria
32455,artistic,8601,Susanna Egri,Coreografo
32455,artistic,5482,Marco Parodi,Regista
32455,artistic,9260,Peter Hall,"Costumista,Scenografo"
32455,technical,8588,Casa d’arte Cerratelli,Sartoria
32456,artistic,9689,Wolfgang Kersten,Regista
32456,artistic,9697,Zvonimir Reljić,Coreografo
32456,artistic,9691,Zvonko Agbaba,Scenografo
32456,artistic,9169,Aleksandar Augustinčić,Scenografo
32456,artistic,9692,Ljubica Wagner,Costumista
32457,artistic,3922,Piero Faggioni,Regista
32457,artistic,9590,Dante Ferretti,"Costumista,Scenografo"
32457,technical,7166,"Tirelli, Roma",Sartoria
32458,artistic,8601,Susanna Egri,Coreografo
32458,artistic,8781,Sandro Sequi,Regista
32458,artistic,4439,Pier Luigi Samaritani,"Costumista,Scenografo"
32458,technical,6425,"Teatro alla Scala, Milano",Sartoria
32459,artistic,3922,Piero Faggioni,Regista
32459,artistic,3918,Pier Luigi Pizzi,"Costumista,Scenografo"
32460,artistic,4285,Peter Maag,Regista
32460,artistic,9340,Vittorio Patané,"Costumista,Scenografo"
32460,technical,7156,"Teatro di San Carlo, Napoli",Sartoria
32460,technical,8418,"Pedrazzoli, Milano",Calzature
32460,technical,9341,"Sorrentino, Napoli",Parrucche
32460,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria
32461,artistic,9297,Luigi Rognoni,"Regista,Traduttore"
32461,artistic,6251,Paolo Bregni,"Costumista,Scenografo"
32461,technical,8999,"Casa d’Arte Fiore, Milano",Sartoria
32461,technical,8418,"Pedrazzoli, Milano",Calzature
32461,technical,9341,"Sorrentino, Napoli",Parrucche
32461,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria
32462,artistic,3622,Carlo Piccinato,Regista
32462,artistic,7110,Giuseppe Carbone,Coreografo
32462,artistic,9606,Tito Varisco,Scenografo
32462,technical,8999,"Casa d’Arte Fiore, Milano",Sartoria
32462,technical,8418,"Pedrazzoli, Milano",Calzature
32462,technical,9341,"Sorrentino, Napoli",Parrucche
32462,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria
32463,artistic,21073,Carlo Maestrini,Regista
32463,artistic,3619,Ria Teresa Legnani,Coreografo
32463,artistic,9255,Mischa Scandella,Scenografo
32463,technical,8999,"Casa d’Arte Fiore, Milano",Sartoria
32463,technical,8418,"Pedrazzoli, Milano",Calzature
32463,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria
32463,technical,6441,"Teatro Regio, Torino",Parrucche
32464,artistic,7122,Beppe Menegatti,Regista
32464,artistic,9254,Milorad Mišković,Coreografo
32464,artistic,7447,Anna Anni,"Costumista,Scenografo"
32465,artistic,9319,Aldo Masella,Regista
32465,artistic,9259,Giuliana Barabaschi,Coreografo
32465,technical,6441,"Teatro Regio, Torino",Parrucche
32465,technical,8418,"Pedrazzoli, Milano",Calzature
32465,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria
32466,artistic,5480,Giancarlo Sbragia,Regista
32466,artistic,9327,Alfredo Silbermann,"Costumista,Scenografo"
32467,artistic,9333,Maria Francesca Siciliani,Regista
32467,artistic,9334,Alberto Burri,"Costumista,Scenografo"
32467,technical,6441,"Teatro Regio, Torino",Parrucche
32467,technical,8588,Casa d’arte Cerratelli,Sartoria
32467,technical,10521,"Calzature artistiche Sacchi, Firenze",Calzature
32468,artistic,9340,Vittorio Patané,Regista
32468,artistic,4237,Jean-Pierre Ponnelle,"Costumista,Scenografo"
32468,technical,8418,"Pedrazzoli, Milano",Calzature
32468,technical,9341,"Sorrentino, Napoli",Parrucche
32469,artistic,9346,Jean Claude Riber,Regista
32469,artistic,9259,Giuliana Barabaschi,Coreografo
32469,artistic,8679,Josef Svoboda,Scenografo
32469,artistic,8839,Jarmila Konečná-Ditrichová,Costumista
32469,technical,6441,"Teatro Regio, Torino","Realizzazione,Parrucche"
32469,technical,7167,"Pompei 2000, Roma",Calzature
32469,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria
32469,technical,28454,"L. Cantini & C., Roma",Sartoria
32470,artistic,5247,Filippo Crivelli,Regista
32470,artistic,10386,Carlo Rapp,Scenografo
32470,artistic,8996,Sara Acquarone,Coreografo
32470,technical,6441,"Teatro Regio, Torino",Parrucche
32470,technical,7166,"Tirelli, Roma",Sartoria
32470,technical,7167,"Pompei 2000, Roma",Calzature
32470,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria
32471,artistic,21073,Carlo Maestrini,Regista
32471,artistic,7220,Eugenio Guglielminetti,"Costumista,Scenografo"
32471,technical,6441,"Teatro Regio, Torino",Parrucche
32471,technical,26822,Roberto Devalle,Costumista
32471,technical,8418,"Pedrazzoli, Milano",Calzature
32471,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria
32472,artistic,3753,Maurice Béjart,Coreografo
32472,artistic,10449,Judith Gombar,Costumista
32473,artistic,7506,Renzo Bussotti,"Costumista,Scenografo"
32473,technical,6441,"Teatro Regio, Torino",Parrucche
32473,technical,10801,"Carlo Rubechini, Firenze",Attrezzeria
32473,technical,8588,Casa d’arte Cerratelli,Sartoria
32473,technical,6424,"Teatro Comunale, Bologna","Realizzazione,Attrezzeria,Parrucche"
32473,technical,10521,"Calzature artistiche Sacchi, Firenze",Calzature
32474,artistic,5247,Filippo Crivelli,Regista
32474,artistic,9259,Giuliana Barabaschi,Coreografo
32474,artistic,7446,Franco Zeffirelli,Scenografo
32474,artistic,9260,Peter Hall,Costumista
32474,technical,6441,"Teatro Regio, Torino",Parrucche
32474,technical,10521,"Calzature artistiche Sacchi, Firenze",Calzature
32474,technical,7781,"Teatro Massimo, Palermo",Realizzazione
32475,artistic,9262,Giuseppe Urbani,Coreografo
32475,artistic,7506,Renzo Bussotti,"Costumista,Scenografo"
32475,technical,6441,"Teatro Regio, Torino",Parrucche
32475,technical,10801,"Carlo Rubechini, Firenze",Attrezzeria
32475,technical,6424,"Teatro Comunale, Bologna","Realizzazione,Attrezzeria,Parrucche"
