performance_id,composition_title,start_date,end_date,year,date_text,first_location,first_building,related_compositions,source_id
32447,"Vespri siciliani, I",1973-04-10,1973-04-21,1973.0,10-04-1973 - 21-04-1973,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Vespri siciliani, I (42341)",object_id_3193
32448,Werther,1973-04-26,1973-05-04,1973.0,26-04-1973 - 04-05-1973,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Werther (40169),object_id_3199
32449,Manon Lescaut,1973-05-13,1973-05-20,1973.0,13-05-1973 - 20-05-1973,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Manon Lescaut (40252),object_id_3204
32450,"Ballo in maschera, Un",1973-11-27,1974-01-27,1973.0,27-11-1973 - 27-01-1974,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Ballo in maschera, Un (40634)",object_id_3210
32451,Rigoletto,1973-12-14,1974-01-13,1973.0,14-12-1973 - 13-01-1974,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Rigoletto (42015),object_id_3219
32452,"Contes d'Hoffmann, Les",1973-12-22,1974-01-03,1973.0,22-12-1973 - 03-01-1974,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Contes d'Hoffmann, Les (40217)",object_id_3228
32453,Francesca da Rimini,1974-01-15,1974-01-29,1974.0,15-01-1974 - 29-01-1974,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Francesca da Rimini (42062),object_id_3233
32454,Moïse et Pharaon ou le passage de la Mer Rouge,1974-02-15,1974-02-22,1974.0,15-02-1974 - 22-02-1974,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Moïse et Pharaon ou le passage de la Mer Rouge (40385),object_id_3240
32455,Andrea Chénier,1974-02-28,1974-04-09,1974.0,28-02-1974 - 09-04-1974,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Andrea Chénier (40102),object_id_3245
32456,,1974-03-29,1974-04-04,1974.0,29-03-1974 - 04-04-1974,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_3255
32457,"Fanciulla del West, La",1974-11-26,1974-12-22,1974.0,26-11-1974 - 22-12-1974,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Fanciulla del West, La (40247)",object_id_3261
32458,"Capricci di Callot, I",1974-12-06,1974-12-20,1974.0,06-12-1974 - 20-12-1974,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Capricci di Callot, I (42135)",object_id_3272
32459,Don Carlo,1975-01-14,1975-02-09,1975.0,14-01-1975 - 09-02-1975,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Don Carlo (42056),object_id_3278
32460,Così fan tutte ossia La scuola degli amanti,1975-02-11,1975-02-26,1975.0,11-02-1975 - 26-02-1975,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Così fan tutte ossia La scuola degli amanti (40193),object_id_3287
32461,"Drei Pintos, Die",1975-02-25,1975-03-08,1975.0,25-02-1975 - 08-03-1975,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Drei Pintos, Die (42136)",object_id_3294
32462,Faust,1975-03-14,1975-04-03,1975.0,14-03-1975 - 03-04-1975,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Faust (40119),object_id_3301
32463,"Forza del destino, La",1975-03-28,1975-04-26,1975.0,28-03-1975 - 26-04-1975,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Forza del destino, La (40655)",object_id_3308
32464,,1975-04-24,1975-05-06,1975.0,24-04-1975 - 06-05-1975,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_3319
32465,,1975-11-21,1976-01-04,1975.0,21-11-1975 - 04-01-1976,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_3329
32466,"Comte Ory, Le",1975-12-02,1975-12-13,1975.0,02-12-1975 - 13-12-1975,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Comte Ory, Le (40370)",object_id_3344
32467,Tristan und Isolde,1976-01-20,1976-02-12,1976.0,20-01-1976 - 12-02-1976,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Tristan und Isolde (42123),object_id_3351
32468,"Zauberflöte, Die",1976-02-24,1976-03-09,1976.0,24-02-1976 - 09-03-1976,/Luoghi/Napoli (95281),/Edifici/Teatro San Carlo (95323),"/Composizioni (52556)/Zauberflöte, Die (40206)",object_id_3358
32469,Turandot,1976-03-17,1976-04-24,1976.0,17-03-1976 - 24-04-1976,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Turandot (40257),object_id_3365
32470,"Imperatore Jones, L’",1976-04-04,1976-04-20,1976.0,04-04-1976 - 20-04-1976,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Imperatore Jones, L’ (42124)",object_id_3379
32471,Luisa Miller,1976-05-05,1976-05-25,1976.0,05-05-1976 - 25-05-1976,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Luisa Miller (40850),object_id_3387
32472,Ce que l’amour me dit,1976-02-05,1976-02-08,1976.0,05-02-1976 - 08-02-1976,/Luoghi/Monte-Carlo (95282),/Edifici/Opéra de Monte-Carlo (95324),/Composizioni (52556)/Ce que l’amour me dit (42187),object_id_3399
32473,Petruška,1976-12-17,1977-03-26,1976.0,17-12-1976 - 26-03-1977,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Petruška (41903),object_id_3404
32474,Falstaff,1976-11-18,1976-12-21,1976.0,18-11-1976 - 21-12-1976,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Falstaff (40398),object_id_3416
