id_recita,curatore_nome,curatore_id,curatore_ruolo
33693,Fulvio Vernizzi,3153,Direttore d'orchestra
33693,Francesco Prestia,10067,Maestro del coro
33694,Fulvio Vernizzi,3153,Direttore d'orchestra
33694,Francesco Prestia,10067,Maestro del coro
33695,Fulvio Vernizzi,3153,Direttore d'orchestra
33695,Francesco Prestia,10067,Maestro del coro
33696,Fulvio Vernizzi,3153,Direttore d'orchestra
33696,Francesco Prestia,10067,Maestro del coro
33697,Fulvio Vernizzi,3153,Direttore d'orchestra
33697,Francesco Prestia,10067,Maestro del coro
33698,Gianfranco Rivoli,3041,Direttore d'orchestra
33698,Roberto Goitre,3496,Maestro del coro
33699,Gianfranco Rivoli,3041,Direttore d'orchestra
33699,Roberto Goitre,3496,Maestro del coro
33700,Gianfranco Rivoli,3041,Direttore d'orchestra
33700,Roberto Goitre,3496,Maestro del coro
33701,Gianfranco Rivoli,3041,Direttore d'orchestra
33701,Roberto Goitre,3496,Maestro del coro
33702,Nino Sanzogno,2702,Direttore d'orchestra
33703,Nino Sanzogno,2702,Direttore d'orchestra
33704,Nino Sanzogno,2702,Direttore d'orchestra
33705,Nino Sanzogno,2702,Direttore d'orchestra
33706,Gianandrea Gavazzeni,10344,Direttore d'orchestra
33706,Tullio Boni,9261,Maestro del coro
33707,Gianandrea Gavazzeni,10344,Direttore d'orchestra
33707,Tullio Boni,9261,Maestro del coro
33708,Gianandrea Gavazzeni,10344,Direttore d'orchestra
33708,Tullio Boni,9261,Maestro del coro
33709,Gianandrea Gavazzeni,10344,Direttore d'orchestra
33709,Tullio Boni,9261,Maestro del coro
33710,Gianandrea Gavazzeni,10344,Direttore d'orchestra
33710,Tullio Boni,9261,Maestro del coro
33711,Gianandrea Gavazzeni,10344,Direttore d'orchestra
33711,Tullio Boni,9261,Maestro del coro
33712,Gianandrea Gavazzeni,10344,Direttore d'orchestra
33712,Tullio Boni,9261,Maestro del coro
33713,Gianandrea Gavazzeni,10344,Direttore d'orchestra
33713,Tullio Boni,9261,Maestro del coro
33714,Paolo Peloso,9647,Direttore d'orchestra
33714,Tullio Boni,9261,Maestro del coro
33715,Paolo Peloso,9647,Direttore d'orchestra
33715,Tullio Boni,9261,Maestro del coro
33716,Paolo Peloso,9647,Direttore d'orchestra
33716,Tullio Boni,9261,Maestro del coro
33717,Paolo Peloso,9647,Direttore d'orchestra
33717,Tullio Boni,9261,Maestro del coro
33718,Paolo Peloso,9647,Direttore d'orchestra
33718,Tullio Boni,9261,Maestro del coro
33719,Paolo Peloso,9647,Direttore d'orchestra
33719,Tullio Boni,9261,Maestro del coro
33720,Paolo Peloso,9647,Direttore d'orchestra
33720,Tullio Boni,9261,Maestro del coro
33721,Paolo Peloso,9647,Direttore d'orchestra
33721,Tullio Boni,9261,Maestro del coro
33722,Gianfranco Rivoli,3041,Direttore d'orchestra
33722,Tullio Boni,9261,Maestro del coro
33723,Gianfranco Rivoli,3041,Direttore d'orchestra
33723,Tullio Boni,9261,Maestro del coro
33724,Gianfranco Rivoli,3041,Direttore d'orchestra
33724,Tullio Boni,9261,Maestro del coro
33725,Gianfranco Rivoli,3041,Direttore d'orchestra
33725,Tullio Boni,9261,Maestro del coro
33726,Fulvio Vernizzi,3153,Direttore d'orchestra
33726,Tullio Boni,9261,Maestro del coro
33727,Fulvio Vernizzi,3153,Direttore d'orchestra
33727,Tullio Boni,9261,Maestro del coro
33728,Fulvio Vernizzi,3153,Direttore d'orchestra
33728,Tullio Boni,9261,Maestro del coro
33729,Fulvio Vernizzi,3153,Direttore d'orchestra
33729,Tullio Boni,9261,Maestro del coro
33730,Fulvio Vernizzi,3153,Direttore d'orchestra
33730,Tullio Boni,9261,Maestro del coro
33731,Fulvio Vernizzi,3153,Direttore d'orchestra
33731,Tullio Boni,9261,Maestro del coro
33732,Francesco Molinari Pradelli,2931,Direttore d'orchestra
33732,Tullio Boni,9261,Maestro del coro
33733,Francesco Molinari Pradelli,2931,Direttore d'orchestra
33733,Tullio Boni,9261,Maestro del coro
33734,Francesco Molinari Pradelli,2931,Direttore d'orchestra
33734,Tullio Boni,9261,Maestro del coro
33735,Francesco Molinari Pradelli,2931,Direttore d'orchestra
33735,Tullio Boni,9261,Maestro del coro
33736,Nino Sanzogno,2702,Direttore d'orchestra
33736,Tullio Boni,9261,Maestro del coro
33737,Nino Sanzogno,2702,Direttore d'orchestra
33737,Tullio Boni,9261,Maestro del coro
33738,Nino Sanzogno,2702,Direttore d'orchestra
33738,Tullio Boni,9261,Maestro del coro
33739,Nino Sanzogno,2702,Direttore d'orchestra
33739,Tullio Boni,9261,Maestro del coro
33740,Mario Braggio,9676,Direttore d'orchestra
33740,Tullio Boni,9261,Maestro del coro
33741,Mario Braggio,9676,Direttore d'orchestra
33741,Tullio Boni,9261,Maestro del coro
33742,Mario Braggio,9676,Direttore d'orchestra
33742,Tullio Boni,9261,Maestro del coro
33743,Mario Braggio,9676,Direttore d'orchestra
33743,Tullio Boni,9261,Maestro del coro
33744,Mario Braggio,9676,Direttore d'orchestra
33744,Tullio Boni,9261,Maestro del coro
33745,Nikša Bareza,9688,Direttore d'orchestra
33745,Zoran Juranic,9690,Maestro del coro
33746,Nikša Bareza,9688,Direttore d'orchestra
33746,Zoran Juranic,9690,Maestro del coro
33747,Nikša Bareza,9688,Direttore d'orchestra
33747,Zoran Juranic,9690,Maestro del coro
33748,Nikša Bareza,9688,Direttore d'orchestra
33748,Zoran Juranic,9690,Maestro del coro
33749,Nino Sanzogno,2702,Direttore d'orchestra
33749,Adolfo Fanfani,9591,Maestro del coro
33750,Nino Sanzogno,2702,Direttore d'orchestra
33750,Adolfo Fanfani,9591,Maestro del coro
33751,Nino Sanzogno,2702,Direttore d'orchestra
33751,Adolfo Fanfani,9591,Maestro del coro
33752,Nino Sanzogno,2702,Direttore d'orchestra
33752,Adolfo Fanfani,9591,Maestro del coro
33753,Nino Sanzogno,2702,Direttore d'orchestra
33753,Adolfo Fanfani,9591,Maestro del coro
33754,Nino Sanzogno,2702,Direttore d'orchestra
33754,Adolfo Fanfani,9591,Maestro del coro
33755,Nino Sanzogno,2702,Direttore d'orchestra
33755,Adolfo Fanfani,9591,Maestro del coro
33756,Nino Sanzogno,2702,Direttore d'orchestra
33756,Adolfo Fanfani,9591,Maestro del coro
33757,Nino Sanzogno,2702,Direttore d'orchestra
33757,Adolfo Fanfani,9591,Maestro del coro
33758,Nino Sanzogno,2702,Direttore d'orchestra
33758,Adolfo Fanfani,9591,Maestro del coro
33759,Nino Sanzogno,2702,Direttore d'orchestra
33760,Nino Sanzogno,2702,Direttore d'orchestra
33761,Nino Sanzogno,2702,Direttore d'orchestra
33762,Nino Sanzogno,2702,Direttore d'orchestra
33763,Nino Sanzogno,2702,Direttore d'orchestra
33764,Bruno Bartoletti,3185,Direttore d'orchestra
33764,Adolfo Fanfani,9591,Maestro del coro
33765,Bruno Bartoletti,3185,Direttore d'orchestra
33765,Adolfo Fanfani,9591,Maestro del coro
33766,Bruno Bartoletti,3185,Direttore d'orchestra
33766,Adolfo Fanfani,9591,Maestro del coro
33767,Bruno Bartoletti,3185,Direttore d'orchestra
33767,Adolfo Fanfani,9591,Maestro del coro
33768,Bruno Bartoletti,3185,Direttore d'orchestra
33768,Adolfo Fanfani,9591,Maestro del coro
33769,Bruno Bartoletti,3185,Direttore d'orchestra
33769,Adolfo Fanfani,9591,Maestro del coro
33770,Bruno Bartoletti,3185,Direttore d'orchestra
33770,Adolfo Fanfani,9591,Maestro del coro
33771,Bruno Bartoletti,3185,Direttore d'orchestra
33771,Adolfo Fanfani,9591,Maestro del coro
33772,Peter Maag,4285,Direttore d'orchestra
33772,Adolfo Fanfani,9591,Maestro del coro
33773,Peter Maag,4285,Direttore d'orchestra
33773,Adolfo Fanfani,9591,Maestro del coro
33774,Peter Maag,4285,Direttore d'orchestra
