id_recita,personaggio,personaggio_voce,interprete,interprete_id,ruolo
33693,La Duchesse Hélène,soprano,Raina Kabaivanska,14037,Soprano
33693,Jean Procida,basso,Bonaldo Giaiotti,14470,Basso
33693,Guy de Montfort,baritono,Licinio Montefusco,14494,Baritono
33693,Le Comte de Vaudemont,basso,Angelo Nosotti,14531,Basso
33693,Danieli,tenore,Giampaolo Corradi,15379,Tenore
33693,Ninetta,contralto,Anna Di Stasio,15512,Contralto
33693,Le Sire de Béthune,basso,Alessandro Cassis,15788,Basso
33693,Mainfroid,tenore,Ottorino Begali,16087,Tenore
33693,Henri,tenore,Gianni Raimondi,16535,Tenore
33693,Thibault,tenore,Augusto Vicentini,16542,Tenore
33693,Robert,baritono,Franco Ventriglia,16930,Baritono
33694,La Duchesse Hélène,soprano,Raina Kabaivanska,14037,Soprano
33694,Jean Procida,basso,Bonaldo Giaiotti,14470,Basso
33694,Guy de Montfort,baritono,Licinio Montefusco,14494,Baritono
33694,Le Comte de Vaudemont,basso,Angelo Nosotti,14531,Basso
33694,Danieli,tenore,Giampaolo Corradi,15379,Tenore
33694,Ninetta,contralto,Anna Di Stasio,15512,Contralto
33694,Le Sire de Béthune,basso,Alessandro Cassis,15788,Basso
33694,Mainfroid,tenore,Ottorino Begali,16087,Tenore
33694,Henri,tenore,Gianni Raimondi,16535,Tenore
33694,Thibault,tenore,Augusto Vicentini,16542,Tenore
33694,Robert,baritono,Franco Ventriglia,16930,Baritono
33695,La Duchesse Hélène,soprano,Raina Kabaivanska,14037,Soprano
33695,Jean Procida,basso,Bonaldo Giaiotti,14470,Basso
33695,Guy de Montfort,baritono,Licinio Montefusco,14494,Baritono
33695,Le Comte de Vaudemont,basso,Angelo Nosotti,14531,Basso
33695,Danieli,tenore,Giampaolo Corradi,15379,Tenore
33695,Ninetta,contralto,Anna Di Stasio,15512,Contralto
33695,Le Sire de Béthune,basso,Alessandro Cassis,15788,Basso
33695,Mainfroid,tenore,Ottorino Begali,16087,Tenore
33695,Henri,tenore,Gianni Raimondi,16535,Tenore
33695,Thibault,tenore,Augusto Vicentini,16542,Tenore
33695,Robert,baritono,Franco Ventriglia,16930,Baritono
33696,La Duchesse Hélène,soprano,Raina Kabaivanska,14037,Soprano
33696,Jean Procida,basso,Bonaldo Giaiotti,14470,Basso
33696,Guy de Montfort,baritono,Licinio Montefusco,14494,Baritono
33696,Le Comte de Vaudemont,basso,Angelo Nosotti,14531,Basso
33696,Danieli,tenore,Giampaolo Corradi,15379,Tenore
33696,Ninetta,contralto,Anna Di Stasio,15512,Contralto
33696,Mainfroid,tenore,Ottorino Begali,16087,Tenore
33696,Henri,tenore,Gianni Raimondi,16535,Tenore
33696,Thibault,tenore,Augusto Vicentini,16542,Tenore
33696,Robert,baritono,Franco Ventriglia,16930,Baritono
33696,Le Sire de Béthune,basso,Marzio Lauricella,16931,Basso
33697,La Duchesse Hélène,soprano,Raina Kabaivanska,14037,Soprano
33697,Jean Procida,basso,Bonaldo Giaiotti,14470,Basso
33697,Guy de Montfort,baritono,Licinio Montefusco,14494,Baritono
33697,Le Comte de Vaudemont,basso,Angelo Nosotti,14531,Basso
33697,Danieli,tenore,Giampaolo Corradi,15379,Tenore
33697,Ninetta,contralto,Anna Di Stasio,15512,Contralto
33697,Mainfroid,tenore,Ottorino Begali,16087,Tenore
33697,Thibault,tenore,Augusto Vicentini,16542,Tenore
33697,Robert,baritono,Franco Ventriglia,16930,Baritono
33697,Le Sire de Béthune,basso,Marzio Lauricella,16931,Basso
33697,Henri,tenore,Doro Antonioli,16933,Tenore
33698,Il borgomastro,basso,Angelo Nosotti,14532,Basso
33698,Albert,baritono,Claudio Desderi,15686,Baritono
33698,Sophie,soprano,Graziella Melotti,15903,Soprano
33698,Schmidt,tenore,Augusto Vicentini,16543,Tenore
33698,Johann,baritono,Gino Orlandini,16935,Baritono
33698,Bruhlmann,baritono,Pier Giuseppe Giglio,16936,Baritono
33698,Kätchen,soprano,Giuseppina Rogliardi,16937,Soprano
33698,Werther,tenore,Alfredo Kraus,16938,Tenore
33698,Charlotte,mezzosoprano,Joy Davidson,16939,Mezzosoprano
33699,Il borgomastro,basso,Angelo Nosotti,14532,Basso
33699,Albert,baritono,Claudio Desderi,15686,Baritono
33699,Sophie,soprano,Graziella Melotti,15903,Soprano
33699,Schmidt,tenore,Augusto Vicentini,16543,Tenore
33699,Johann,baritono,Gino Orlandini,16935,Baritono
33699,Bruhlmann,baritono,Pier Giuseppe Giglio,16936,Baritono
33699,Kätchen,soprano,Giuseppina Rogliardi,16937,Soprano
33699,Werther,tenore,Alfredo Kraus,16938,Tenore
33699,Charlotte,mezzosoprano,Joy Davidson,16939,Mezzosoprano
33700,Il borgomastro,basso,Angelo Nosotti,14532,Basso
33700,Albert,baritono,Claudio Desderi,15686,Baritono
33700,Sophie,soprano,Graziella Melotti,15903,Soprano
33700,Schmidt,tenore,Augusto Vicentini,16543,Tenore
33700,Johann,baritono,Gino Orlandini,16935,Baritono
33700,Bruhlmann,baritono,Pier Giuseppe Giglio,16936,Baritono
33700,Kätchen,soprano,Giuseppina Rogliardi,16937,Soprano
33700,Werther,tenore,Alfredo Kraus,16938,Tenore
33700,Charlotte,mezzosoprano,Joy Davidson,16939,Mezzosoprano
33701,Il borgomastro,basso,Angelo Nosotti,14532,Basso
33701,Albert,baritono,Claudio Desderi,15686,Baritono
33701,Sophie,soprano,Graziella Melotti,15903,Soprano
33701,Schmidt,tenore,Augusto Vicentini,16543,Tenore
33701,Johann,baritono,Gino Orlandini,16935,Baritono
33701,Bruhlmann,baritono,Pier Giuseppe Giglio,16936,Baritono
33701,Kätchen,soprano,Giuseppina Rogliardi,16937,Soprano
33701,Werther,tenore,Alfredo Kraus,16938,Tenore
33701,Charlotte,mezzosoprano,Joy Davidson,16939,Mezzosoprano
33702,Manon Lescaut,soprano,Raina Kabaivanska,14034,Soprano
33702,L'oste,basso,Angelo Nosotti,14533,Basso
33702,Edmondo,tenore,Oslavio Di Credico,14608,Tenore
33702,Un lampionaio,tenore,Florindo Andreolli,15271,Tenore
33702,Il comandante di marina,basso,Franco Federici,15607,Basso
33702,Un parrucchiere,attore,Carlo Ubertone,15862,Attore
33702,Lescaut,baritono,Rolando Panerai,15872,Baritono
33702,Sergente degli arcieri,basso,Mario Sarti,15877,Basso
33702,Il maestro di ballo,tenore,Luigi Pontiggia,15890,Tenore
33702,Geronte de Ravoir,basso,Federico Davià,15963,Basso
33702,Il Cavaliere Renato Des Grieux,tenore,Giorgio Casellato Lamberti,16077,Tenore
33702,Un musico,mezzosoprano,Gloria Foglizzo,16568,Mezzosoprano
33703,Manon Lescaut,soprano,Raina Kabaivanska,14034,Soprano
33703,L'oste,basso,Angelo Nosotti,14533,Basso
33703,Edmondo,tenore,Oslavio Di Credico,14608,Tenore
33703,Un lampionaio,tenore,Florindo Andreolli,15271,Tenore
33703,Il comandante di marina,basso,Franco Federici,15607,Basso
33703,Un parrucchiere,attore,Carlo Ubertone,15862,Attore
33703,Lescaut,baritono,Rolando Panerai,15872,Baritono
33703,Sergente degli arcieri,basso,Mario Sarti,15877,Basso
33703,Il maestro di ballo,tenore,Luigi Pontiggia,15890,Tenore
33703,Geronte de Ravoir,basso,Federico Davià,15963,Basso
33703,Il Cavaliere Renato Des Grieux,tenore,Giorgio Casellato Lamberti,16077,Tenore
33703,Un musico,mezzosoprano,Gloria Foglizzo,16568,Mezzosoprano
33704,Manon Lescaut,soprano,Raina Kabaivanska,14034,Soprano
33704,L'oste,basso,Angelo Nosotti,14533,Basso
33704,Edmondo,tenore,Oslavio Di Credico,14608,Tenore
33704,Un lampionaio,tenore,Florindo Andreolli,15271,Tenore
33704,Il comandante di marina,basso,Franco Federici,15607,Basso
33704,Un parrucchiere,attore,Carlo Ubertone,15862,Attore
33704,Lescaut,baritono,Rolando Panerai,15872,Baritono
33704,Sergente degli arcieri,basso,Mario Sarti,15877,Basso
33704,Il maestro di ballo,tenore,Luigi Pontiggia,15890,Tenore
33704,Geronte de Ravoir,basso,Federico Davià,15963,Basso
33704,Il Cavaliere Renato Des Grieux,tenore,Giorgio Casellato Lamberti,16077,Tenore
33704,Un musico,mezzosoprano,Gloria Foglizzo,16568,Mezzosoprano
