id,fullpath,compositions_id,dcTitle,composizione_entity_identifiers,composizione_uri,durata,from,to,datetext,source_id,autore_testo,autore_musica,autore_compositore,autore_opera_letteraria,autore_testi_secondari,adattamento_musicale,autore_musica_clean,autore_testo_clean,autore_opera_letteraria.1,literary_author_name,literary_author_id,wikidata_entity_id,operaLabel,character_wikidata_id,character_name,voice_type,character_gender,Anno
teatro_regio_40021,"/Composizioni (52556)/Capuleti e i Montecchi, I (40021)",40021,I Capuleti e i Montecchi,Q1071307,https://www.wikidata.org/wiki/Q1071307,,1830-01-01,1830-12-31,01-01-1830 - 31-12-1830,object_id_4,/Voci di autorità/Persone/Felice Romani (2601),/Voci di autorità/Persone/Vincenzo Bellini (2530),,/Voci di autorità/Persone/William Shakespeare (3956),,,Vincenzo Bellini,Felice Romani,William Shakespeare,William Shakespeare,3956,Q1071307,I Capuleti e i Montecchi,Q55032741,Giulietta,soprano,femmina,1830
teatro_regio_40022,/Composizioni (52556)/Norma (40022),40022,Norma,Q320353,https://www.wikidata.org/wiki/Q320353,,1831-09-01,1831-11-30,01-09-1831 - 30-11-1831,object_id_5,/Voci di autorità/Persone/Felice Romani (2601),/Voci di autorità/Persone/Vincenzo Bellini (2530),,/Voci di autorità/Persone/Alexandre Soumet (19123),,,Vincenzo Bellini,Felice Romani,Alexandre Soumet,Alexandre Soumet,19123,Q320353,Norma,Q55000279,Pollione,tenore,maschio,1831
teatro_regio_40022,/Composizioni (52556)/Norma (40022),40022,Norma,Q320353,https://www.wikidata.org/wiki/Q320353,,1831-09-01,1831-11-30,01-09-1831 - 30-11-1831,object_id_5,/Voci di autorità/Persone/Felice Romani (2601),/Voci di autorità/Persone/Vincenzo Bellini (2530),,/Voci di autorità/Persone/Alexandre Soumet (19123),,,Vincenzo Bellini,Felice Romani,Alexandre Soumet,Alexandre Soumet,19123,Q320353,Norma,Q55000279,Pollione,tenore lirico,maschio,1831
teatro_regio_40022,/Composizioni (52556)/Norma (40022),40022,Norma,Q320353,https://www.wikidata.org/wiki/Q320353,,1831-09-01,1831-11-30,01-09-1831 - 30-11-1831,object_id_5,/Voci di autorità/Persone/Felice Romani (2601),/Voci di autorità/Persone/Vincenzo Bellini (2530),,/Voci di autorità/Persone/Alexandre Soumet (19123),,,Vincenzo Bellini,Felice Romani,Alexandre Soumet,Alexandre Soumet,19123,Q320353,Norma,Q55000284,Oroveso,basso,maschio,1831
teatro_regio_40022,/Composizioni (52556)/Norma (40022),40022,Norma,Q320353,https://www.wikidata.org/wiki/Q320353,,1831-09-01,1831-11-30,01-09-1831 - 30-11-1831,object_id_5,/Voci di autorità/Persone/Felice Romani (2601),/Voci di autorità/Persone/Vincenzo Bellini (2530),,/Voci di autorità/Persone/Alexandre Soumet (19123),,,Vincenzo Bellini,Felice Romani,Alexandre Soumet,Alexandre Soumet,19123,Q320353,Norma,Q55000289,Adalgisa,soprano,femmina,1831
teatro_regio_40022,/Composizioni (52556)/Norma (40022),40022,Norma,Q320353,https://www.wikidata.org/wiki/Q320353,,1831-09-01,1831-11-30,01-09-1831 - 30-11-1831,object_id_5,/Voci di autorità/Persone/Felice Romani (2601),/Voci di autorità/Persone/Vincenzo Bellini (2530),,/Voci di autorità/Persone/Alexandre Soumet (19123),,,Vincenzo Bellini,Felice Romani,Alexandre Soumet,Alexandre Soumet,19123,Q320353,Norma,Q55000289,Adalgisa,mezzosoprano,femmina,1831
teatro_regio_40022,/Composizioni (52556)/Norma (40022),40022,Norma,Q320353,https://www.wikidata.org/wiki/Q320353,,1831-09-01,1831-11-30,01-09-1831 - 30-11-1831,object_id_5,/Voci di autorità/Persone/Felice Romani (2601),/Voci di autorità/Persone/Vincenzo Bellini (2530),,/Voci di autorità/Persone/Alexandre Soumet (19123),,,Vincenzo Bellini,Felice Romani,Alexandre Soumet,Alexandre Soumet,19123,Q320353,Norma,Q55000293,Clotilde,soprano,femmina,1831
teatro_regio_40022,/Composizioni (52556)/Norma (40022),40022,Norma,Q320353,https://www.wikidata.org/wiki/Q320353,,1831-09-01,1831-11-30,01-09-1831 - 30-11-1831,object_id_5,/Voci di autorità/Persone/Felice Romani (2601),/Voci di autorità/Persone/Vincenzo Bellini (2530),,/Voci di autorità/Persone/Alexandre Soumet (19123),,,Vincenzo Bellini,Felice Romani,Alexandre Soumet,Alexandre Soumet,19123,Q320353,Norma,Q55000295,Flavio,tenore,maschio,1831
teatro_regio_40022,/Composizioni (52556)/Norma (40022),40022,Norma,Q320353,https://www.wikidata.org/wiki/Q320353,,1831-09-01,1831-11-30,01-09-1831 - 30-11-1831,object_id_5,/Voci di autorità/Persone/Felice Romani (2601),/Voci di autorità/Persone/Vincenzo Bellini (2530),,/Voci di autorità/Persone/Alexandre Soumet (19123),,,Vincenzo Bellini,Felice Romani,Alexandre Soumet,Alexandre Soumet,19123,Q320353,Norma,Q55000295,Flavio,tenore lirico,maschio,1831
teatro_regio_40022,/Composizioni (52556)/Norma (40022),40022,Norma,Q320353,https://www.wikidata.org/wiki/Q320353,,1831-09-01,1831-11-30,01-09-1831 - 30-11-1831,object_id_5,/Voci di autorità/Persone/Felice Romani (2601),/Voci di autorità/Persone/Vincenzo Bellini (2530),,/Voci di autorità/Persone/Alexandre Soumet (19123),,,Vincenzo Bellini,Felice Romani,Alexandre Soumet,Alexandre Soumet,19123,Q320353,Norma,Q55000297,"Due fanciulli, figli di Norma e Pollione",,,1831
teatro_regio_40022,/Composizioni (52556)/Norma (40022),40022,Norma,Q320353,https://www.wikidata.org/wiki/Q320353,,1831-09-01,1831-11-30,01-09-1831 - 30-11-1831,object_id_5,/Voci di autorità/Persone/Felice Romani (2601),/Voci di autorità/Persone/Vincenzo Bellini (2530),,/Voci di autorità/Persone/Alexandre Soumet (19123),,,Vincenzo Bellini,Felice Romani,Alexandre Soumet,Alexandre Soumet,19123,Q320353,Norma,Q55068861,Norma,baritono,,1831
