production_id,credit_type,person_id,person_name,person_role,work_title,performance_start_date,performance_end_date,year,date_text,first_location,first_venue,related_work_id,source_id
32447,artistic,2657,Maria Callas,Regista,Vespri siciliani,1973-04-10,1973-04-21,1973,10-04-1973 - 21-04-1973,Torino,Teatro Regio,,object_id_3193
32447,artistic,2688,Giuseppe Di Stefano,Regista,Vespri siciliani,1973-04-10,1973-04-21,1973,10-04-1973 - 21-04-1973,Torino,Teatro Regio,,object_id_3193
32447,artistic,10066,Serge Lifar,Coreografo,Vespri siciliani,1973-04-10,1973-04-21,1973,10-04-1973 - 21-04-1973,Torino,Teatro Regio,,object_id_3193
32447,artistic,10068,Aligi Sassu,"Costumista,Scenografo",Vespri siciliani,1973-04-10,1973-04-21,1973,10-04-1973 - 21-04-1973,Torino,Teatro Regio,,object_id_3193
32447,technical,7166,"Tirelli, Roma",Sartoria,Vespri siciliani,1973-04-10,1973-04-21,1973,10-04-1973 - 21-04-1973,Torino,Teatro Regio,,object_id_3193
32448,artistic,8781,Sandro Sequi,Regista,Werther,1973-04-26,1973-05-04,1973,26-04-1973 - 04-05-1973,Torino,Teatro Regio,40169,object_id_3199
32448,artistic,10141,Jurgen Henze,Scenografo,Werther,1973-04-26,1973-05-04,1973,26-04-1973 - 04-05-1973,Torino,Teatro Regio,40169,object_id_3199
32448,artistic,9260,Peter Hall,Costumista,Werther,1973-04-26,1973-05-04,1973,26-04-1973 - 04-05-1973,Torino,Teatro Regio,40169,object_id_3199
32448,technical,9941,"Sormani, Milano",Realizzazione,Werther,1973-04-26,1973-05-04,1973,26-04-1973 - 04-05-1973,Torino,Teatro Regio,40169,object_id_3199
32448,technical,7166,"Tirelli, Roma",Sartoria,Werther,1973-04-26,1973-05-04,1973,26-04-1973 - 04-05-1973,Torino,Teatro Regio,40169,object_id_3199
32448,technical,7159,"Mario Audello, Torino",Parrucche,Werther,1973-04-26,1973-05-04,1973,26-04-1973 - 04-05-1973,Torino,Teatro Regio,40169,object_id_3199
32448,technical,7167,"Pompei 2000, Roma",Calzature,Werther,1973-04-26,1973-05-04,1973,26-04-1973 - 04-05-1973,Torino,Teatro Regio,40169,object_id_3199
32448,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria,Werther,1973-04-26,1973-05-04,1973,26-04-1973 - 04-05-1973,Torino,Teatro Regio,40169,object_id_3199
32449,artistic,8643,Virginio Puecher,"Regista,Scenografo",Manon Lescaut,1973-05-13,1973-05-20,1973,13-05-1973 - 20-05-1973,Torino,Teatro Regio,40252,object_id_3204
32449,artistic,5301,Vittorio Rossi,Costumista,Manon Lescaut,1973-05-13,1973-05-20,1973,13-05-1973 - 20-05-1973,Torino,Teatro Regio,40252,object_id_3204
32449,technical,9941,"Sormani, Milano",Realizzazione,Manon Lescaut,1973-05-13,1973-05-20,1973,13-05-1973 - 20-05-1973,Torino,Teatro Regio,40252,object_id_3204
32449,technical,10147,"Sartoria Peruzzi, Roma",Sartoria,Manon Lescaut,1973-05-13,1973-05-20,1973,13-05-1973 - 20-05-1973,Torino,Teatro Regio,40252,object_id_3204
32450,artistic,9633,Margherita Wallmann,Regista,Ballo in maschera,1973-11-27,1974-01-27,1973,27-11-1973 - 27-01-1974,Torino,Teatro Regio,,object_id_3210
32450,artistic,8580,Nicola Benois,"Costumista,Scenografo",Ballo in maschera,1973-11-27,1974-01-27,1973,27-11-1973 - 27-01-1974,Torino,Teatro Regio,,object_id_3210
32450,artistic,8601,Susanna Egri,Coreografo,Ballo in maschera,1973-11-27,1974-01-27,1973,27-11-1973 - 27-01-1974,Torino,Teatro Regio,,object_id_3210
32451,artistic,10386,Carlo Rapp,"Costumista,Regista,Scenografo",Rigoletto,1973-12-14,1974-01-13,1973,14-12-1973 - 13-01-1974,Torino,Teatro Regio,42015,object_id_3219
