season_id,season_title,season_start_date,season_end_date,datetext,season_type,ente_produttore,organizer_name,organizer_id,linked_production,linked_production_ids,fullpath,published,creationDate,modificationDate
32228,Stagione lirica 1973,1973-04-10,1973-05-20,10-04-1973 - 20-05-1973,opera e balletto,"/Voci di autorità/Enti/Teatro Regio, Torino (6441)","Teatro Regio, Torino",6441,"/Cronologia (52555)/Stagione lirica 1973 (32228)/1 Vespri siciliani, I (32447),/Cronologia (52555)/Stagione lirica 1973 (32228)/2 Werther (32448),/Cronologia (52555)/Stagione lirica 1973 (32228)/3 Manon Lescaut (32449)","32447,32448,32449",/Cronologia (52555)/Stagione lirica 1973 (32228),1,1720184750,1749115840
32229,Stagione lirica 1973-1974,1973-11-27,1974-05-07,27-11-1973 - 07-05-1974,opera e balletto,"/Voci di autorità/Enti/Teatro Regio, Torino (6441)","Teatro Regio, Torino",6441,"/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/1 Ballo in maschera, Un (32450),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/2 Rigoletto (32451),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/3 Contes d’Hofmann, Les (32452),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/4 Francesca da Rimini (32453),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/5 Moïse et Pharaon (32454),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/6 Andrea Chénier (32455),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/7 Principe Igor, Il (32456),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/8 Norma (32947)","32450,32451,32452,32453,32454,32455,32456,32947",/Cronologia (52555)/Stagione lirica 1973-1974 (32229),1,1720187403,1749115844
32230,Stagione lirica 1974-1975,1974-11-26,1975-05-06,26-11-1974 - 06-05-1975,opera e balletto,"/Voci di autorità/Enti/Teatro Regio, Torino (6441)","Teatro Regio, Torino",6441,"/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/1 Fanciulla del West, La (32457),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/2 Capricci di Callot, I (32458),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/3 Don Carlo (32459),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/4 Così fan tutte (32460),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/5 Drei Pintos, Die (32461),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/6 Faust (32462),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/7 Forza del destino, La (32463),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/8 Giselle (32464)","32457,32458,32459,32460,32461,32462,32463,32464",/Cronologia (52555)/Stagione lirica 1974-1975 (32230),1,1720187403,1749115740
32231,Stagione lirica 1975-1976,1975-11-21,1976-05-25,21-11-1975 - 25-05-1976,opera e balletto,"/Voci di autorità/Enti/Teatro Regio, Torino (6441)","Teatro Regio, Torino",6441,"/Cronologia (52555)/Stagione lirica 1975-1976 (32231)/1 Carmen (32465),/Cronologia (52555)/Stagione lirica 1975-1976 (32231)/2 Comte Ory , Le (32466),/Cronologia (52555)/Stagione lirica 1975-1976 (32231)/3 Tristano e Isotta (32467),/Cronologia (52555)/Stagione lirica 1975-1976 (32231)/4 Zauberflöte, Die (32468),/Cronologia (52555)/Stagione lirica 1975-1976 (32231)/5 Turandot (32469),/Cronologia (52555)/Stagione lirica 1975-1976 (32231)/6 Imperatore Jones, L’ (32470),/Cronologia (52555)/Stagione lirica 1975-1976 (32231)/7 Luisa Miller (32471),/Cronologia (52555)/Stagione lirica 1975-1976 (32231)/Sette peccati capitali, I (32948)","32465,32466,32467,32468,32469,32470,32471,32948",/Cronologia (52555)/Stagione lirica 1975-1976 (32231),1,1720187403,1749115740
32232,Spettacoli fuori stagione 1976,1976-01-01,1976-12-31,01-01-1976 - 31-12-1976,opera e balletto,"/Voci di autorità/Enti/Teatro Regio, Torino (6441)","Teatro Regio, Torino",6441,"/Cronologia (52555)/Spettacoli fuori stagione 1976 (32232)/1 Jeux (32939),/Cronologia (52555)/Spettacoli fuori stagione 1976 (32232)/2 Golestan, ou Le jardin des roses (32940),/Cronologia (52555)/Spettacoli fuori stagione 1976 (32232)/3 Pli selon pli: Tombeau (32941),/Cronologia (52555)/Spettacoli fuori stagione 1976 (32232)/4 Ce que l’amour me dit (32472)","32939,32940,32941,32472",/Cronologia (52555)/Spettacoli fuori stagione 1976 (32232),1,1720187403,1749115740
32233,Attività scuola musica Stagione 1976-1977,1976-10-01,1977-06-30,01-10-1976 - 30-06-1977,attività collaterali,"/Voci di autorità/Enti/Teatro Regio, Torino (6441)","Teatro Regio, Torino",6441,/Cronologia (52555)/Attività scuola musica Stagione 1976-1977 (32233)/1 Petruška (32473),32473,/Cronologia (52555)/Attività scuola musica Stagione 1976-1977 (32233),1,1720187403,1749115740
32234,Stagione lirica 1976-1977,1976-11-18,1977-06-16,18-11-1976 - 16-06-1977,opera e balletto,"/Voci di autorità/Enti/Teatro Regio, Torino (6441)","Teatro Regio, Torino",6441,"/Cronologia (52555)/Stagione lirica 1976-1977 (32234)/1 Falstaff (32474),/Cronologia (52555)/Stagione lirica 1976-1977 (32234)/2 Apollon Musagète (32950),/Cronologia (52555)/Stagione lirica 1976-1977 (32234)/2 Momenti (32951),/Cronologia (52555)/Stagione lirica 1976-1977 (32234)/2 Petruška (32475),/Cronologia (52555)/Stagione lirica 1976-1977 (32234)/3 Maria Stuarda (32476),/Cronologia (52555)/Stagione lirica 1976-1977 (32234)/4 Manon Lescaut (33614),/Cronologia (52555)/Stagione lirica 1976-1977 (32234)/6 Fliegende Holländer, Der (32960),/Cronologia (52555)/Stagione lirica 1976-1977 (32234)/6 Traviata, La (32477),/Cronologia (52555)/Stagione lirica 1976-1977 (32234)/7 Don Giovanni (32962),/Cronologia (52555)/Stagione lirica 1976-1977 (32234)/7 Incoronazione di Poppea, L’ (32961)","32474,32950,32951,32475,32476,33614,32960,32477,32962,32961",/Cronologia (52555)/Stagione lirica 1976-1977 (32234),1,1720187403,1749115741
32235,Autunno 1977,1977-09-18,1977-10-23,18-09-1977 - 23-10-1977,opera e balletto,"/Voci di autorità/Enti/Teatro Regio, Torino (6441)","Teatro Regio, Torino",6441,"/Cronologia (52555)/Autunno 1977 (32235)/1 Rigoletto (32478),/Cronologia (52555)/Autunno 1977 (32235)/2 Complesso Accademico di Stato di danze della Siberia Krasnojarsk (32479),/Cronologia (52555)/Autunno 1977 (32235)/3 Requiem. Malédictions et Lumières (32480),/Cronologia (52555)/Autunno 1977 (32235)/4 Sinfonia in do (32481),/Cronologia (52555)/Autunno 1977 (32235)/5 Onieghin (32482),/Cronologia (52555)/Autunno 1977 (32235)/Quattro temperamenti, I (32953),/Cronologia (52555)/Autunno 1977 (32235)/Serenata (32952)","32478,32479,32480,32481,32482,32953,32952",/Cronologia (52555)/Autunno 1977 (32235),1,1720187403,1749115741
32236,Attività scuola musica Stagione 1977-1978,1977-11-01,1978-06-30,01-11-1977 - 30-06-1978,attività collaterali,"/Voci di autorità/Enti/Teatro Regio, Torino (6441)","Teatro Regio, Torino",6441,"/Cronologia (52555)/Attività scuola musica Stagione 1977-1978 (32236)/2 Sonnambula, La (32483),/Cronologia (52555)/Attività scuola musica Stagione 1977-1978 (32236)/Silfidi, Le (33615)","32483,33615",/Cronologia (52555)/Attività scuola musica Stagione 1977-1978 (32236),1,1720187403,1749115741
32237,Stagione lirica 1977-1978,1977-11-24,1978-06-13,24-11-1977 - 13-06-1978,opera e balletto,"/Voci di autorità/Enti/Teatro Regio, Torino (6441)","Teatro Regio, Torino",6441,"/Cronologia (52555)/Stagione lirica 1977-1978 (32237)/1 Macbeth (32484),/Cronologia (52555)/Stagione lirica 1977-1978 (32237)/13 Barbiere di Siviglia, Il (32491),/Cronologia (52555)/Stagione lirica 1977-1978 (32237)/2 Morte del cigno, La (32485),/Cronologia (52555)/Stagione lirica 1977-1978 (32237)/3 Elegia per giovani amanti (32486),/Cronologia (52555)/Stagione lirica 1977-1978 (32237)/4 Tosca (32487),/Cronologia (52555)/Stagione lirica 1977-1978 (32237)/5 Corregidor, Der (32488),/Cronologia (52555)/Stagione lirica 1977-1978 (32237)/6 Don Giovanni (32489),/Cronologia (52555)/Stagione lirica 1977-1978 (32237)/7 Amore delle tre melarance, L’ (32490),/Cronologia (52555)/Stagione lirica 1977-1978 (32237)/Don Chisciotte: Pas de Deux (32956),/Cronologia (52555)/Stagione lirica 1977-1978 (32237)/Giselle: Pas de Deux (32958),/Cronologia (52555)/Stagione lirica 1977-1978 (32237)/Romeo e Giulietta (32957),/Cronologia (52555)/Stagione lirica 1977-1978 (32237)/Silfidi, Le (32955),/Cronologia (52555)/Stagione lirica 1977-1978 (32237)/Sonnambula, La (32959)","32484,32491,32485,32486,32487,32488,32489,32490,32956,32958,32957,32955,32959",/Cronologia (52555)/Stagione lirica 1977-1978 (32237),1,1720187403,1749115741
